t   Re(psi(x_0,t))   Im(psi(x_0,t))    Re(psi(x_n,t))   Im(psi(x_n,t))
0.0  -3.693709322413333e-185  7.539924144938675e-186  -0.0  0.0
0.001  -7.806255641895632e-18  1.734723475976807e-18  -1.998046929258257e-17  1.5830238497910287e-17
0.002  -8.673617379884035e-18  -1.1709383462843448e-17  -4.683877555569809e-17  1.271576808888655e-17
0.003  3.0357660829594124e-18  -5.637851296924623e-18  -6.05983957844233e-17  1.4404079165088997e-17
0.004  -1.3877787807814457e-17  -2.168404344971009e-17  -8.847343446676534e-17  2.023944995669056e-17
0.005  -1.474514954580286e-17  -1.0408340855860843e-17  -8.782532669495181e-17  1.4229059945559534e-17
0.006  -1.7780915628762273e-17  -1.691355389077387e-17  -9.580320872524881e-17  1.3410438497960987e-17
0.007  -1.6479873021779667e-17  -2.47198095326695e-17  -1.1571590759532495e-16  5.023349356718266e-20
0.008  -2.949029909160572e-17  -2.7755575615628914e-17  -1.3046398234823403e-16  1.3675265243276738e-17
0.009000000000000001  -4.0766001685454967e-17  -2.7321894746634712e-17  -1.470460164953401e-16  1.7465703975033667e-18
0.01  -5.594483210025203e-17  -2.5153490401663703e-17  -1.5152074515521746e-16  7.685941005666579e-18
0.011  -5.2909066017292616e-17  -1.1709383462843448e-17  -1.7383935479276446e-16  -2.746227102374448e-18
0.012  -6.461844948013606e-17  -1.7780915628762273e-17  -1.9166241074564947e-16  4.122511835020724e-18
0.013000000000000001  -4.7704895589362195e-17  -3.382710778154774e-17  -1.9812947268802068e-16  2.311873447402275e-17
0.014  -6.375108774214766e-17  -4.2934406030425976e-17  -2.0706624479524357e-16  4.415497297636e-17
0.015  -5.5077470362263625e-17  -3.859759734048396e-17  -2.0609947591911055e-16  6.184843346709919e-17
0.016  -6.418476861114186e-17  -4.85722573273506e-17  -2.086862979624856e-16  6.421106726250368e-17
0.017  -6.591949208711867e-17  -5.4643789493269423e-17  -2.109324362775571e-16  7.116227845563018e-17
0.018000000000000002  -7.28583859910259e-17  -5.5077470362263625e-17  -1.941883969527885e-16  1.0549681587881276e-16
0.019  -9.150666335777657e-17  -5.551115123125783e-17  -1.8737476402362888e-16  1.0260136646183684e-16
0.02  -7.892991815694472e-17  -5.4643789493269423e-17  -1.8784501342911386e-16  1.1855075683893277e-16
0.021  -9.84455572616838e-17  -6.114900252818245e-17  -1.8178942537346987e-16  1.5679583355995933e-16
0.022  -1.1405806854547507e-16  -4.85722573273506e-17  -1.5236700478997712e-16  1.7240991206222518e-16
0.023  -1.1579279202145187e-16  -5.0306980803327406e-17  -1.4649199133237993e-16  1.9556754209255274e-16
0.024  -1.3053794156725473e-16  -4.336808689942018e-17  -1.2944169326367502e-16  2.0347391603547008e-16
0.025  -1.2533377113932431e-16  -3.469446951953614e-17  -1.248362094138343e-16  2.128945845940476e-16
