t   Re(psi(x_0,t))   Im(psi(x_0,t))    Re(psi(x_n,t))   Im(psi(x_n,t))
0.0  9.326910531166989e-54  0.0  9.326910531166989e-54  0.0
0.1  -5.3339505689750095e-17  -1.5374818496252064e-17  -6.7264830921102776e-18  2.3336033739265667e-17
0.2  -1.3452966184220555e-17  4.6672067478531335e-17  -1.2589753449981528e-16  3.592474511968349e-17
0.30000000000000004  1.4127235299606734e-16  -8.926425080943358e-17  -5.3339505689750095e-17  -1.5374818496252064e-17
0.4  2.3062227744378094e-17  -8.000925853462515e-17  4.565209644162406e-17  4.204457134112711e-17
0.5  -8.36167836351221e-17  -1.1075889552712928e-16  2.2589868697245968e-17  1.2205382987575224e-16
0.6000000000000001  1.7539333556550235e-16  -7.215050200993908e-18  1.4902459449119935e-17  1.4872358272062729e-16
0.7000000000000001  5.3339505689750095e-17  1.5374818496252064e-17  3.796468719349803e-17  6.871432418600216e-17
0.8  9.130419288324812e-17  8.408914268225422e-17  3.796468719349803e-17  6.871432418600216e-17
0.9  2.1335802275900038e-16  6.149927398500825e-17  -2.441076597515045e-16  4.5179737394491936e-17
1.0  6.0554555890744e-17  1.9076815406175443e-16  2.368926095505106e-16  -2.2057307295999428e-16
1.1  3.0560693373651276e-16  -2.5853776015349233e-16  2.1335802275900038e-16  6.149927398500825e-17
1.2000000000000002  -6.0554555890744e-17  -1.9076815406175443e-16  2.902321152402607e-16  -2.051982544637422e-16
1.3  0.0  -0.0  -6.463444003837308e-17  -7.640173343412819e-17
1.4000000000000001  1.835531038607605e-16  -2.3594789145624636e-16  3.890940528776228e-17  -3.3541185263475265e-16
1.5  -9.130419288324812e-17  -8.408914268225422e-17  -3.1351660533648284e-18  -2.8975975619312855e-16
1.6  -1.0667901137950019e-16  -3.074963699250413e-17  -2.2589868697245968e-17  -1.2205382987575224e-16
1.7000000000000002  1.6409840121687937e-16  -6.824196513887003e-17  -1.5797857499543576e-16  -1.0330766580256931e-16
1.8  2.7077741259637953e-16  -3.749232814636591e-17  -1.2205382987575224e-16  2.2589868697245968e-17
1.9000000000000001  -1.3334876422437524e-17  -3.843704624063016e-18  -6.92619361757773e-17  -1.3550679605997282e-16
2.0  1.615108471532897e-16  -1.8453023807852775e-16  -1.0593284633748049e-16  -1.460769837761461e-16
