t   Re(c(t))    Im(c(t))
0.0  0.9999999999999999  0.0
0.001  0.9995663822959581  0.02890175719777402
0.002  0.9982659605216775  0.05777659410780013
0.003  0.9961000282080094  0.08659761890298111
0.004  0.9930707396313582  0.11533799664393135
0.005  0.9891811074032586  0.14397097763890296
0.006  0.9844349990999679  0.17246992570311712
0.007  0.9788371329362585  0.20080834628417488
0.008  0.9723930724887788  0.22895991442039204
0.009000000000000001  0.9651092204755172  0.25689850249912377
0.01  0.956992811599093  0.2845982077824008
0.011  0.9480519044627388  0.3120333796675052
0.012  0.938295372568986  0.33917864665045505
0.013000000000000001  0.927732894412216  0.3660089429607556
0.014  0.9163749426773293  0.392499534836199
0.015  0.90423277255791  0.4186260464069649
0.016  0.8913184092083283  0.444364485158777
0.017  0.8776446343453022  0.46969126694542096
0.018000000000000002  0.863224972015463  0.4945832405215086
0.019  0.8480736735465086  0.519017711566999
0.02  0.8322057017005062  0.5429724661756408
0.021  0.8156367140488939  0.5664257937801958
0.022  0.7983830455896566  0.5893565094880323
0.023  0.7804616906280853  0.6117439758014368
0.024  0.7618902839434054  0.6335681236977839
0.025  0.7426870812644197  0.6548094730455389
0.026000000000000002  0.7228709390781398  0.67544915233291
0.027  0.7024612937961753  0.695468917686862
0.028  0.6814781403044031  0.7148511711611112
0.029  0.6599420099221766  0.7335789782726609
0.03  0.637873947798015  0.7516360847673973
0.031  0.615295489769377  0.7690069325962603
0.032  0.5922286387147352  0.7856766750845067
0.033  0.5686958404267508  0.8016311912776195
0.034  0.5447199590358885  0.8168570994484625
0.035  0.5203242520143173  0.8313417697513545
0.036000000000000004  0.4955323447904005  0.8450733360098157
0.037  0.4703682050045072  0.8580407066258458
0.038  0.4448561164372559  0.8702335745997039
0.039  0.4190206526416401  0.8816424266502854
0.04  0.39288665031079134  0.8922585514273298
0.041  0.36647918241338245  0.9020740468078415
0.042  0.3398235311289003  0.9110818262702498
0.043000000000000003  0.3129451606151791  0.919275624341003
0.044  0.2858696896407233  0.926650001109448
0.045  0.25862286411443236  0.9332003458080127
0.046  0.23123052954538706  0.9389228794558806
0.047  0.2037186034653564  0.9438146565655012
0.048  0.17611304784664775  0.9478735659124577
0.049  0.14843984154783746  0.9510983303703612
0.05  0.120724952819796  0.9534885058136029
0.051000000000000004  0.09299431190425535  0.9550444790919382
0.052000000000000005  0.06527378375695819  0.9557674650820209
0.053  0.03758914092718081  0.9556595028221289
0.054  0.009966036625129761  0.9547234507374495
0.055  -0.017570021991613144  0.9529629809643843
0.056  -0.04499370028179606  0.9503825727834395
0.057  -0.07227986230395606  0.9469875051713281
0.058  -0.09940359668968202  0.942783848483979
0.059000000000000004  -0.12634024217721612  0.9377784552831765
0.06  -0.15306541277644747  0.931978950320586
0.061  -0.17955502253690814  0.9253937196939014
0.062  -0.2057853098909734  0.9180318991908436
0.063  -0.23173286154509132  0.9099033618376734
0.064  -0.2573746358925281  0.9010187046698246
0.065  -0.2826879859218016  0.8913892347431451
0.066  -0.3076506815957019  0.8810269544051237
0.067  -0.33224093167654517  0.8699445458463141
0.068  -0.35643740497408755  0.8581553549529796
0.069  -0.38021925099333664  0.8456733744827822
0.07  -0.4035661199603284  0.8325132265860683
0.07100000000000001  -0.4264581822047988  0.8186901446960466
0.07200000000000001  -0.448876146879563  0.8042199548118281
0.073  -0.47080127999732035  0.789119056198953
0.074  -0.4922154217665273  0.7734044015326532
0.075  -0.5131010032089378  0.7570934765096755
0.076  -0.533441062042363  0.740204278955041
0.077  -0.5532192578131923  0.7227552974506304
0.078  -0.5724198862642218  0.7047654895129485
0.079  -0.5910278929243359  0.6862542593478689
0.08  -0.6090288859076256  0.6672414352105462
0.081  -0.62640914791056  0.6477472463990506
0.082  -0.6431556473968746  0.6277922999105955
0.083  -0.6592560489608967  0.6073975567895119
0.084  -0.6746987228610928  0.5865843081963645
0.085  -0.6894727537166883  0.5653741512278078
0.08600000000000001  -0.7035679483612861  0.5437889645169437
0.08700000000000001  -0.7169748428484852  0.521850883644066
0.088  -0.7296847086055723  0.4995822763877611
0.089  -0.7416895577324463  0.4770057178463796
0.09  -0.7529821474439973  0.454143965459898
0.091  -0.7635559836552429  0.43101993396216004
0.092  -0.7734053237095853  0.40765667029340835
0.093  -0.782525178251617  0.38407732850291565
0.094  -0.7909113122469534  0.36030514467136604
0.095  -0.7985602451526133  0.3363634118824578
0.096  -0.8054692502425077  0.3122754552729732
0.097  -0.8116363530936145  0.28806460719029725
0.098  -0.8170603292394262  0.26375418248607513
0.099  -0.8217407009982532  0.2393674539743631
0.1  -0.8256777334849512  0.21492762808225932
0.101  -0.8288724298155885  0.1904578207206022
0.10200000000000001  -0.8313265255155321  0.16598103340188614
0.10300000000000001  -0.833042482142343  0.14152012963207786
0.10400000000000001  -0.8340234801357833  0.11709781160251571
0.105  -0.8342734109081212  0.09273659720754523
0.106  -0.8337968681887761  0.06845879741298089
0.107  -0.8325991386381921  0.04428649399989507
0.108  -0.8306861917466359  0.02024151770761695
0.109  -0.828064669034402  -0.0036545732008225213
0.11  -0.8247418725706741  -0.02738051392823479
0.111  -0.8207257528290248  -0.05091535366593808
0.112  -0.8160248958982378  -0.0742384756283962
0.113  -0.8106485100678169  -0.09732961657942768
0.114  -0.804606411808197  -0.12016888583034735
0.115  -0.7979090111662838  -0.142736783691188
0.116  -0.7905672965975379  -0.1650142193569553
0.117  -0.7825928192563762  -0.18698252821169256
0.11800000000000001  -0.7739976767671822  -0.20862348853397072
0.11900000000000001  -0.7647944964987112  -0.22991933758827618
0.12  -0.7549964183651294  -0.2508527870876383
0.121  -0.7446170771773558  -0.2714070380137216
0.122  -0.733670584568757  -0.2915657947815006
0.123  -0.7221715105196148  -0.31131327873654424
0.124  -0.7101348645050902  -0.3306342409738476
0.125  -0.6975760762917141  -0.34951397446807136
0.126  -0.6845109764076728  -0.3679383255059805
0.127  -0.6709557763123808  -0.38589370441280213
0.128  -0.6569270482910198  -0.40336709556516825
0.129  -0.6424417050998619  -0.4203460666842407
0.13  -0.6275169793883196  -0.436818777403563
0.131  -0.6121704029237374  -0.4527739871071237
0.132  -0.5964197856449853  -0.4682010620340557
0.133  -0.5802831945709296  -0.48308998164733397
0.134  -0.5637789325898266  -0.4974313442647673
0.135  -0.5469255171556334  -0.5112163719515128
0.136  -0.5297416589171358  -0.5244369146742563
0.137  -0.5122462403056702  -0.537085453718126
0.138  -0.4944582941070637  -0.5491551043683064
0.139  -0.4763969820432234  -0.5606396178592202
0.14  -0.4580815733885901  -0.5715333825950303
0.14100000000000001  -0.43953142364641906  -0.5818314246460863
0.14200000000000002  -0.42076595330957095  -0.5915294075268018
0.14300000000000002  -0.4018046267301827  -0.6006236312612985
0.14400000000000002  -0.3826669311222503  -0.6091110307439718
0.145  -0.3633723557207854  -0.6169891734029666
0.146  -0.3439403711208133  -0.6242562561753291
0.147  -0.32439040881905434  -0.6309111018033957
0.148  -0.30474184098068424  -0.6369531544627287
0.149  -0.2850139604530921  -0.6423824747326573
0.15  -0.26522596104805723  -0.6471997339211968
0.151  -0.24539691811324374  -0.6514062077568149
0.152  -0.2255457694133654  -0.6550037694601982
0.153  -0.20569129634080818  -0.6579948822098122
0.154  -0.18585210547491  -0.6603825910156875
0.155  -0.1660466105084899  -0.6621705140164615
