t   Re(c(t))    Im(c(t))
0.0  1.0  0.0
0.01  0.956994314522484  0.2845933560581954
0.02  0.8322114162061061  0.5429641271272792
0.03  0.6378857406019076  0.7516267477795475
0.04  0.3929051421287513  0.8922513913809038
0.05  0.12074932296501845  0.9534868156700438
0.06  -0.1530373793526383  0.9319855387754125
0.07  -0.40353774888774724  0.832529879324734
0.08  -0.6090041368257937  0.6672685277655706
0.09  -0.7529650193284612  0.454180291006992
0.1  -0.8256716448919473  0.21497046898809888
0.11  -0.8247491130112814  -0.027335080574319714
0.12  -0.755017754905736  -0.25080939603049757
0.13  -0.6275514775129398  -0.43678216819763427
0.14  -0.4581266575474307  -0.5715077692758213
0.15  -0.2652777037791229  -0.64718824318625
0.16  -0.06820695195706035  -0.6622831405050612
0.17  0.11520484942307521  -0.621127455542308
0.18  0.27007294241930163  -0.5329587577881165
0.19  0.3857088957498791  -0.4105153630446221
0.2  0.45625813058610265  -0.2684028621877234
0.21  0.48076041399207264  -0.1214342474418465
0.22  0.4626879654434796  0.01686912808829809
0.23  0.40907080300912535  0.13546752651042035
0.24  0.3293545162015889  0.22658829696452243
0.25  0.23414943853315606  0.28606971787079105
0.26  0.13402300554649196  0.31328186680132064
0.27  0.0384624042219758  0.31068966400610654
0.28  -0.044902195048120236  0.2831557367231089
0.29  -0.11076621943669883  0.23709702180882875
0.3  -0.15630585052160204  0.17960925762221713
0.31  -0.18105128479775814  0.11765998393587858
0.32  -0.1865370052700489  0.05742711613007038
0.33  -0.1758039784261422  0.0038310798178785212
0.34  -0.15283313064224652  -0.039721599404402945
0.35000000000000003  -0.12198367432799831  -0.07139253583425453
0.36  -0.08749629753317235  -0.09079421013997474
0.37  -0.053102942878911465  -0.09874575696090389
0.38  -0.02176500294551446  -0.09695245899174314
0.39  0.004456985361609374  -0.08765851092993146
0.4  0.02441455294843054  -0.07331587069596522
0.41000000000000003  0.03778677238642875  -0.05630154062033086
0.42  0.044929313506370694  -0.03870345441847232
0.43  0.046687664293401855  -0.02218313224110197
0.44  0.04420249158284145  -0.007912852339063999
0.45  0.038729784849216936  0.003422789080979819
0.46  0.031491623966275466  0.01157598780217587
0.47000000000000003  0.023566301524697145  0.016652607898545814
0.48  0.01582005280471711  0.019013481004210016
0.49  0.008877445511434698  0.01917450008134501
0.5  0.003123887029092198  0.017716468340926588
0.51  -0.0012682338574072907  0.015211817261298975
0.52  -0.004298715436950655  0.012171601685745758
0.53  -0.006092267128096998  0.009013029786906422
0.54  -0.006851558679017159  0.006045430531246418
0.55  -0.006815494724724956  0.003471078033718213
0.56  -0.006225683792999821  0.0013966274233327873
0.5700000000000001  -0.005302328505580201  -0.0001490717397297185
0.58  -0.00422936854574864  -0.0011945194342981764
0.59  -0.0031477307127906226  -0.0018054124050971975
0.6  -0.0021549793403127216  -0.0020668396139883285
0.61  -0.0013094620716635522  -0.0020689992565481696
0.62  -0.0006371271342311181  -0.0018968646256378571
0.63  -0.00013945520764785155  -0.0016236576609213198
0.64  0.00019868696019993562  -0.0013076123776030284
0.65  0.00040207661247356494  -0.0009913114093429581
0.66  0.0004994971543524441  -0.0007028257197722694
0.67  0.0005195874073805288  -0.0004579400878970681
0.68  0.0004881175964263867  -0.00026286481774079676
0.6900000000000001  0.0004264947069049112  -0.00011698178467165984
0.7000000000000001  0.0003512315300385146  -1.5322864566374875e-05
0.71  0.0002740991362889613  4.938767147860147e-05
0.72  0.00020270510322981117  8.518841931559616e-05
0.73  0.00014128404973507038  9.981882943565716e-05
0.74  9.154005812007593e-05  0.00010007722153886855
0.75  5.343297005647904e-05  9.151264080765767e-05
0.76  2.5846311456691322e-05  7.83592561558729e-05
0.77  7.110702598969286e-06  6.362920171338807e-05
0.78  -4.6176965723561135e-06  4.9293903486137464e-05
0.79  -1.1108054647740578e-05  3.650075805384283e-05
0.8  -1.3911196803467316e-05  2.57885354713184e-05
0.81  -1.4295207491368755e-05  1.72792292469296e-05
0.8200000000000001  -1.3235683122445888e-05  1.0835400036640387e-05
0.8300000000000001  -1.1439766872138555e-05  6.180191320636081e-06
0.84  -9.387744417098256e-06  2.982425548008503e-06
0.85  -7.380613723117931e-06  9.120503160786278e-07
0.86  -5.586121328549482e-06  -3.2769267201026926e-07
0.87  -4.07902484020587e-06  -9.850765674926258e-07
0.88  -2.873742979507732e-06  -1.2561372976831412e-06
0.89  -1.9491646091430712e-06  -1.2878954647922732e-06
0.9  -1.2663468896359358e-06  -1.1852174879040799e-06
0.91  -7.803012256191714e-07  -1.019010930675142e-06
0.92  -4.4719702164469846e-07  -8.342995257933939e-07
0.93  -2.2823655075956464e-07  -6.573715380633675e-07
0.9400000000000001  -9.126847708034762e-08  -5.016521220010259e-07
0.9500000000000001  -1.0982201153007052e-08  -3.722458962401139e-07
0.96  3.16958625116315e-08  -2.692664125387873e-07
0.97  5.057565607065857e-08  -1.901500681719435e-07
0.98  5.527247489879603e-08  -1.3117391441732004e-07
0.99  5.221283762844811e-08  -8.838380063486704e-08
1.0  4.5498904752462975e-08  -5.810878445230357e-08
1.01  3.7605257783588754e-08  -3.7201337974039345e-08
1.02  2.991266788071208e-08  -2.310758051852179e-08
1.03  2.3099301206020787e-08  -1.384119384250106e-08
1.04  1.7415817773980928e-08  -7.91019036289765e-09
1.05  1.2870956667313302e-08  -4.227296083879965e-09
1.06  9.35124552516982e-09  -2.0216381065615526e-09
1.07  6.694255972750111e-09  -7.606612813240213e-10
1.08  4.730451643536144e-09  -8.568405639562097e-11
1.09  3.304731426946526e-09  2.3869639217883484e-10
1.1  2.2855074821417855e-09  3.627844813465137e-10
1.11  1.5666214884145615e-09  3.796514679223933e-10
1.12  1.0655294936164352e-09  3.4487736738833006e-10
1.1300000000000001  7.198632283632678e-10  2.9015790482376486e-10
1.1400000000000001  4.8358199217629e-10  2.3243635014687556e-10
1.1500000000000001  3.233522245767311e-10  1.7987003651902248e-10
1.16  2.154367621754501e-10  1.3562017924180733e-10
1.17  1.431724997356539e-10  1.0018499719106751e-10
1.18  9.500729678792077e-11  7.278431726237405e-11
1.19  6.30192955365536e-11  5.214381181974677e-11
1.2  4.18276061917932e-11  3.6911207392429744e-11
1.21  2.7807347153111702e-11  2.585501328541004e-11
1.22  1.8533782674251783e-11  1.7940620277509144e-11
1.23  1.239440708829143e-11  1.2341863618893208e-11
1.24  8.321990846329566e-12  8.421847189183076e-12
1.25  5.6126609810439456e-12  5.70232753015653e-12
1.26  3.803245865036468e-12  3.831366297457211e-12
1.27  2.5893438448521446e-12  2.554162594899201e-12
1.28  1.7708262242135038e-12  1.6887720550245802e-12
1.29  1.2159521375817718e-12  1.1067070080613209e-12
1.3  8.377954269549853e-13  7.181017448582561e-13
1.31  5.787528114175154e-13  4.606746627869497e-13
1.32  4.004683337832718e-13  2.9157045971829217e-13
1.33  2.772841087891939e-13  1.8151360563844886e-13
1.34  1.919135011221547e-13  1.1065550689371074e-13
1.35  1.3261841011058794e-13  6.56094192408651e-14
1.36  9.13981393833819e-14  3.740658052376201e-14
1.37  6.276551502937585e-14  2.0093800604805693e-14
1.3800000000000001  4.289915550702457e-14  9.748220511509567e-15
1.3900000000000001  2.9162427390137456e-14  3.788195850847898e-15
1.4000000000000001  1.9696104410734114e-14  5.406047874799859e-16
1.41  1.3217482650059403e-14  -1.0559764077189323e-15
1.42  8.796266955855288e-15  -1.6761864887849333e-15
1.43  5.8022643179856174e-15  -1.758061517461504e-15
1.44  3.7862533918987146e-15  -1.5640207640274548e-15
1.45  2.417939763506555e-15  -1.2481396811909436e-15
1.46  1.491818292053151e-15  -9.127550760042674e-16
