t   Re(c(t))    Im(c(t))
0.0  1.0  0.0
0.01  0.9510763116983205  0.28755221186409347
0.02  0.8118440839759056  0.5393299001398593
0.03  0.603297700347047  0.726087377543998
0.04  0.3554760019309731  0.8300360447042672
0.05  0.10146876157022283  0.8470705935106482
0.06  -0.12861227023119765  0.7859993072764979
0.07  -0.3123038657547363  0.6653061462605195
0.08  -0.4372507127279899  0.5085367760845162
0.09  -0.5013004366912458  0.3395648063081393
0.1  -0.5106918999749592  0.17877819408051115
0.11  -0.4771492163968586  0.04077406383691556
0.12  -0.4147479231941536  -0.06634725935859828
0.13  -0.33723650287578877  -0.1403857654581182
0.14  -0.25619571031529215  -0.18364007029902915
0.15  -0.18011856669030998  -0.20121464143765277
0.16  -0.1142745041055469  -0.1994399001660162
0.17  -0.061110217451692  -0.18464510435707943
0.18  -0.020924835719446963  -0.16236695823277691
0.19  0.007395505679044756  -0.13696236478613805
0.2  0.025725047975993245  -0.11153149494314529
0.21  0.0361971212813242  -0.08803979787052368
0.22  0.0408684095063435  -0.06753939549853188
0.23  0.041529077562284286  -0.05041599365157434
0.24  0.03962385151847586  -0.036615393213595145
0.25  0.03624706508628734  -0.025827221219144877
0.26  0.03217998646885648  -0.017620099397324934
0.27  0.0279468972900569  -0.01153229420838175
0.28  0.02387453360275043  -0.007126418524756706
0.29  0.020146181758723555  -0.004017768232533672
0.3  0.01684651780710639  -0.0018849373078423247
0.31  0.01399632786575536  -0.00046959121260304226
0.32  0.01157793186110469  0.00042961135991042724
0.33  0.009552877856876016  0.0009656149961737889
0.34  0.007873641824103597  0.0012520392583543645
0.35000000000000003  0.006490926600198992  0.0013716029593950642
0.36  0.005357881130817063  0.001383386209098943
0.37  0.004432261512039525  0.0013287860128264476
0.38  0.0036772826163425226  0.0012362259381539205
0.39  0.003061684854258567  0.001124777203019067
0.4  0.002559368376413261  0.0010068802134977322
0.41000000000000003  0.002148821329273274  0.0008903513231881314
0.42  0.001812480897229038  0.0007798380997090946
0.43  0.0015361067605454484  0.0006778588252362998
0.44  0.001308208356809353  0.0005855344401491286
0.45  0.0011195436196602324  0.0005030966033942912
0.46  0.0009626929157033738  0.0004302350651303091
0.47000000000000003  0.0008317042803805493  0.0003663311886055774
0.48  0.0007218023913338435  0.00031061179509950124
0.49  0.0006291524218454817  0.0002622479340270788
0.5  0.000550669954018178  0.0002204160798444406
0.51  0.00048386885266206897  0.00018433407011421912
0.52  0.0004267400143230827  0.00015328035791118539
0.53  0.0003776549860252166  0.00012660248345017057
0.54  0.00033528947448379726  0.0001037187856894572
0.55  0.00029856268197744846  8.411605662839005e-05
0.56  0.00026658919019766336  6.734492736548873e-05
0.5700000000000001  0.00023864076916477008  5.301414753216441e-05
0.58  0.00021411602589270102  4.078449312659389e-05
0.59  0.00019251624228047422  3.0362751030950976e-05
0.6  0.00017342609988775493  2.1496038358294526e-05
0.61  0.0001564982660396634  1.3966590830010155e-05
0.62  0.00014144103456575482  7.5870753891549335e-06
0.63  0.00012800838687423928  2.196433477802942e-06
0.64  0.00011599197450282417  -2.343767302531689e-06
0.65  0.00010521463051869434  -6.1525110110481125e-06
0.66  9.552510038937958e-05  -9.332085698167597e-06
0.67  8.679374817063e-05  -1.197045719471741e-05
0.68  7.890904497745581e-05  -1.4143310084219517e-05
0.6900000000000001  7.177468679999187e-05  -1.591579860032976e-05
0.7000000000000001  6.530722021217117e-05  -1.7344046339776863e-05
0.71  5.943407928288464e-05  -1.8476429520548717e-05
0.72  5.4091956506835116e-05  -1.9354674386265918e-05
0.73  4.9225445971811954e-05  -2.001479545418045e-05
0.74  4.478590916194322e-05  -2.0487897727806717e-05
0.75  4.073052345713113e-05  -2.0800862787806983e-05
0.76  3.702148106948913e-05  -2.097693584110894e-05
0.77  3.362531227916613e-05  -2.1036228332868383e-05
0.78  3.0512311725025264e-05  -2.0996148580990925e-05
0.79  2.7656050426969316e-05  -2.0871771045890324e-05
0.8  2.5032959369292603e-05  -2.0676153265745713e-05
0.81  2.262197301539608e-05  -2.042060813504579e-05
0.8200000000000001  2.0404223179158303e-05  -2.0114938053300717e-05
0.8300000000000001  1.836277534449174e-05  -1.976763649153018e-05
0.84  1.6482400880324957e-05  -1.938606169310962e-05
0.85  1.4749379704075301e-05  -1.8976586520423584e-05
0.86  1.3151328851989026e-05  -1.854472786112941e-05
0.87  1.1677053157689827e-05  -1.8095258501000403e-05
0.88  1.031641485199085e-05  -1.763230394076551e-05
0.89  9.060219402382394e-06  -1.7159426270226185e-05
0.9  7.900115328960798e-06  -1.6679696903873704e-05
0.91  6.82850608129794e-06  -1.6195759719921077e-05
0.92  5.838472350350513e-06  -1.5709885922035972e-05
0.93  4.9237034315128855e-06  -1.5224021753580926e-05
0.9400000000000001  4.078436457796367e-06  -1.473983003306456e-05
0.9500000000000001  3.2974024923676255e-06  -1.4258726342445247e-05
0.96  2.575778613427406e-06  -1.3781910582703292e-05
0.97  1.9091452455982346e-06  -1.3310394511661635e-05
0.98  1.293448094745887e-06  -1.2845025793330169e-05
0.99  7.249641306404057e-07  -1.2386509015621563e-05
1.0  2.002711357597856e-07  -1.1935424070452436e-05
1.01  -2.8377959758116845e-07  -1.1492242236912811e-05
1.02  -7.300877856360969e-07  -1.1057340262351579e-05
1.03  -1.141326204341978e-06  -1.0631012696682473e-05
1.04  -1.519960550288679e-06  -1.0213482701194757e-05
1.05  -1.8682673542977587e-06  -9.804911524190007e-06
1.06  -2.188350160534916e-06  -9.405406810377916e-06
1.07  -2.4821541582655635e-06  -9.015029889309798e-06
1.08  -2.7514794310848184e-06  -8.633802169386756e-06
1.09  -2.9979929690448184e-06  -8.261710747650805e-06
1.1  -3.2232395721169036e-06  -7.89871333158618e-06
1.11  -3.4286517588176113e-06  -7.5447425569188806e-06
1.12  -3.6155587806317736e-06  -7.199709774825315e-06
1.1300000000000001  -3.7851948321535206e-06  -6.863508372859009e-06
1.1400000000000001  -3.938706536128449e-06  -6.5360166857540355e-06
1.1500000000000001  -4.077159774807833e-06  -6.2171005454380735e-06
1.16  -4.201545930562135e-06  -5.906615513480559e-06
1.17  -4.312787592503024e-06  -5.6044088339902775e-06
1.18  -4.411743779584758e-06  -5.3103211401293324e-06
1.19  -4.499214725507233e-06  -5.024187943718732e-06
1.2  -4.5759462660990855e-06  -4.745840933666174e-06
1.21  -4.642633865598308e-06  -4.4751091057661405e-06
1.22  -4.6999263146768226e-06  -4.211819744051054e-06
1.23  -4.7484291297488096e-06  -3.955799271233631e-06
1.24  -4.788707680119975e-06  -3.7068739836743024e-06
1.25  -4.8212900670175755e-06  -3.4648706847774293e-06
1.26  -4.846669776270788e-06  -3.229617228642855e-06
1.27  -4.865308124043445e-06  -3.000942984945112e-06
1.28  -4.877636513602256e-06  -2.778679234249978e-06
1.29  -4.884058519017724e-06  -2.562659502223532e-06
1.3  -4.884951810480617e-06  -2.3527198401098986e-06
1.31  -4.880669934459574e-06  -2.148699057958773e-06
1.32  -4.871543960662126e-06  -1.950438916338541e-06
1.33  -4.857884006836967e-06  -1.757784281786695e-06
1.34  -4.83998065128006e-06  -1.570583250424266e-06
1.35  -4.818106242219158e-06  -1.388687243641111e-06
1.36  -4.792516112241818e-06  -1.211951079717242e-06
1.37  -4.763449705315643e-06  -1.0402330240792238e-06
1.3800000000000001  -4.731131623454062e-06  -8.733948214042339e-07
1.3900000000000001  -4.695772599112593e-06  -7.113017116903745e-07
1.4000000000000001  -4.65757039922138e-06  -5.538224327241285e-07
1.41  -4.616710666019449e-06  -4.0082921075688663e-07
1.42  -4.573367699671808e-06  -2.521977410806037e-07
1.43  -4.527705186927181e-06  -1.0780716014219136e-07
1.44  -4.479876879948429e-06  3.245998959827551e-08
1.45  -4.430027229092754e-06  1.687178007916183e-07
1.46  -4.378291972936573e-06  3.0107704727165144e-07
1.47  -4.324798688823748e-06  4.296452341609195e-07
1.48  -4.269667306700936e-06  5.545266511609329e-07
1.49  -4.213010588999247e-06  6.758224283476522e-07
1.5  -4.154934578867168e-06  7.93630593676085e-07
1.51  -4.09553901911573e-06  9.080461319122051e-07
1.52  -4.034917743895823e-06  1.019161044190955e-06
1.53  -3.973159045023859e-06  1.1270644079191908e-06
1.54  -3.910346014625814e-06  1.2318424366235e-06
1.55  -3.8465568657751625e-06  1.3335785393412353e-06
1.56  -3.781865232625142e-06  1.432353379355077e-06
1.57  -3.716340451298937e-06  1.528244931869712e-06
1.58  -3.6500478228191484e-06  1.6213285405496134e-06
1.59  -3.583048859287413e-06  1.7116769726524195e-06
1.6  -3.5154015142273255e-06  1.7993604725423559e-06
1.61  -3.447160398164851e-06  1.8844468135789707e-06
1.62  -3.3783769802436122e-06  1.967001348184443e-06
1.6300000000000001  -3.309099776738914e-06  2.0470870559492254e-06
1.6400000000000001  -3.239374527139276e-06  2.1247645898577836e-06
1.6500000000000001  -3.1692443584642857e-06  2.20009232045332e-06
1.6600000000000001  -3.0987499384836653e-06  2.27312637800127e-06
1.67  -3.0279296182701484e-06  2.3439206926408975e-06
1.68  -2.9568195646630646e-06  2.412527032540998e-06
1.69  -2.885453883060159e-06  2.478995040062655e-06
1.7  -2.813864730911448e-06  2.5433722661893026e-06
1.71  -2.7420824223088074e-06  2.605704203079868e-06
1.72  -2.6701355239488424e-06  2.6660343150836767e-06
1.73  -2.5980509428562917e-06  2.724404068233633e-06
1.74  -2.5258540060287263e-06  2.780852958534939e-06
1.75  -2.4535685323489936e-06  2.8354185391609723e-06
1.76  -2.3812168969555112e-06  2.8881364469170044e-06
1.77  -2.3088200883421978e-06  2.9390404281440314e-06
1.78  -2.236397758414851e-06  2.9881623645569698e-06
1.79  -2.1639682657660353e-06  3.0355322991353092e-06
1.8  -2.0915487124368487e-06  3.081178462727761e-06
1.81  -2.019154974495139e-06  3.1251273014924914e-06
1.82  -1.9468017266679417e-06  3.1674035058582602e-06
1.83  -1.8745024616051698e-06  3.208030041323304e-06
1.84  -1.8022695039048723e-06  3.2470281815361346e-06
1.85  -1.7301140196850653e-06  3.2844175442136323e-06
1.86  -1.6580460220390579e-06  3.3202161303111722e-06
1.87  -1.5860743731643316e-06  3.3544403668208098e-06
1.8800000000000001  -1.5142067836500901e-06  3.3871051536932318e-06
1.8900000000000001  -1.442449809959655e-06  3.4182239151787047e-06
1.9000000000000001  -1.370808850671309e-06  3.4478086558366415e-06
1.9100000000000001  -1.2992881426123434e-06  3.4758700215080495e-06
1.92  -1.2278907577729014e-06  3.5024173652431475e-06
1.93  -1.156618601941489e-06  3.527458818168118e-06
1.94  -1.0854724162301936e-06  3.5510013652642727e-06
1.95  -1.0144517824957118e-06  3.573050925543235e-06
1.96  -9.435551336640835e-07  3.5936124362865504e-06
1.97  -8.727797701402219e-07  3.612689940723948e-06
1.98  -8.021218829231913e-07  3.6302866782689143e-06
1.99  -7.315765845378319e-07  3.6464051763905657e-06
2.0  -6.611379484099665e-07  3.6610473429968385e-06
2.0100000000000002  -5.907990570973733e-07  3.6742145583272376e-06
2.02  -5.20552060045755e-07  3.685907764331114e-06
2.0300000000000002  -4.50388240371386e-07  3.69612755116623e-06
2.04  -3.802980915312632e-07  3.704874238124563e-06
2.05  -3.1027140237390405e-07  3.712147948823575e-06
2.06  -2.4029735105042935e-07  3.7179486781514476e-06
