t   Re(psi(x_0,t))   Im(psi(x_0,t))    Re(psi(x_n,t))   Im(psi(x_n,t))
0.0  6.925230976043025e-27  0.0  3.113155885422585e-39  0.0
0.01  -9.123605279098657e-18  2.2908940274586163e-17  1.854913098494046e-17  4.218284089609743e-18
0.02  4.5905355188014034e-18  -3.659392035398924e-17  -3.0849746172760534e-17  -2.940362209692506e-17
0.03  4.5862481063732244e-17  -1.422963630075627e-17  -4.774089687938169e-17  -1.799503975025109e-17
0.04  -8.404832908604136e-18  2.2423468685366e-17  2.4838389226767487e-17  -2.9592316066733874e-20
0.05  -4.44249363227432e-17  1.3258693122315942e-17  -9.205090168511736e-18  -1.0529414749471938e-17
0.06  6.427266140075553e-17  6.829193198187771e-18  -1.1372900431696028e-16  9.827801048670315e-18
0.07  3.4386142266728734e-17  7.725516458421683e-17  1.7332021781281696e-17  2.1787036882774128e-17
0.08  3.176493494967609e-17  -3.820129533502128e-17  -3.364335076532532e-17  5.976619284013802e-18
0.09  9.286058644171042e-17  -7.94663804187351e-17  -6.043434488004315e-17  9.10585139278865e-17
0.1  -8.078040679122068e-17  8.805390881132647e-17  1.2382100077233357e-17  5.862369303137349e-17
0.11  -7.524123586790816e-17  -1.501410848654522e-16  -6.0678799548283e-17  -9.25655114428805e-18
0.12  1.467444950978907e-16  -1.995940050676978e-16  -9.205090168511736e-18  -1.0529414749471938e-17
0.13  5.567141208573011e-17  9.637210772628022e-17  -3.364335076532532e-17  5.976619284013802e-18
0.14  -5.5182502749252186e-17  1.0425802241806888e-16  3.9786362542122846e-17  -1.4409928368322805e-16
0.15  2.1322979805747316e-18  -8.517367022511098e-17  4.268547115501049e-17  -6.232391458265822e-17
0.16  2.4816345673034474e-16  -1.6893732775389193e-17  1.0206567661022144e-16  -6.893696566926398e-17
0.17  1.6718753431108803e-17  1.3942811895350314e-16  9.157871566243471e-17  -1.6233406059505112e-16
0.18  -1.780016657177159e-16  2.998607850481536e-18  -4.444895545365266e-17  -7.045856233513416e-17
0.19  -2.360455670931091e-17  -8.453723842251927e-17  6.372874810812363e-18  -3.392382661327835e-16
0.2  1.7568237882740638e-16  -6.841890313093742e-17  9.728815218168421e-17  -1.8293701082084156e-16
0.21  8.925729709255133e-17  1.4067438887565903e-16  1.1535353796768545e-16  1.397952212784562e-16
0.22  -4.915442248946174e-17  6.669315888563931e-17  -2.5573884911059066e-17  6.751314185070831e-17
0.23  -5.954317523403698e-17  -6.026365896151114e-17  -1.1198011165254315e-16  -1.588203888392811e-16
0.24  2.1363836381569888e-16  -7.730835195027189e-17  -8.309969368153002e-17  2.263361353087132e-17
0.25  5.163667915859725e-17  6.560384644293293e-17  1.0803629111150785e-16  -5.622292876830128e-17
0.26  4.5608598898806804e-17  1.031687099753625e-16  5.274828434193374e-17  -6.912051683174059e-17
0.27  -9.458972333437083e-18  1.0686893152664673e-16  1.2119462931773943e-16  -4.8363607759540275e-17
0.28  5.747777050865288e-17  -1.2255498259506349e-16  -1.7993754729186915e-16  2.1052832232867662e-17
0.29  -1.8050794151776024e-17  -2.1301565293554123e-17  -4.681005062845543e-17  3.16163372479635e-17
0.3  -5.905426589755907e-17  1.4036647118283796e-16  1.6214063530501735e-16  -1.5975274380254039e-16
0.31  9.767155749784196e-17  -9.946249115800028e-17  -1.9483535066583331e-16  -3.5871710236235225e-17
0.32  -6.165145408370288e-17  1.0862726672105034e-16  -2.598860517523799e-17  -2.5039396667245453e-16
0.33  1.774647181194203e-16  -3.7106324890973163e-16  5.807644722459842e-18  -5.416267314715367e-17
0.34  2.505976751376626e-16  -5.2031238361717945e-17  1.5889673214110746e-16  6.014528969724368e-17
0.35000000000000003  -4.1942679653607684e-17  1.4555569845088818e-16  -2.110506031262386e-16  3.267609677603547e-16
0.36  -2.324413769655647e-16  1.9048841413678075e-16  -1.1438088343226653e-16  -2.5767903914379513e-16
0.37  6.037687912153981e-17  -4.077961349449365e-17  -9.241864952726315e-17  -7.155237272739859e-17
0.38  2.1932164952446442e-16  1.8680018711765242e-16  -1.772661700334243e-16  -6.448494168415845e-17
0.39  -4.9710225081130284e-17  1.3405534052297583e-16  -5.5230541011070414e-17  -6.317648849683164e-17
0.4  1.5975961929705448e-17  5.61963350852728e-17  8.184397371273667e-18  -3.9021278300090126e-17
0.41000000000000003  1.4206304719298983e-16  2.1274971610526595e-17  -2.8807204660658736e-16  1.1083548392253217e-16
0.42  -1.9469640001791587e-16  -5.271225564557109e-17  9.490287281458226e-18  1.2756365733367556e-16
0.43  -1.7768089029759984e-16  -3.8239205020732286e-16  -3.6460974488799683e-17  -4.236039479249783e-17
0.44  2.9015417464577012e-16  4.9850796886236156e-18  -2.157466426653626e-16  2.4619927763283527e-16
0.45  1.0297840358475784e-17  3.112318741713856e-16  -2.0839594918159084e-16  3.0822127178874997e-16
0.46  9.434953202528247e-18  -1.9058618698409725e-16  -1.4774116876421742e-16  2.337605674755875e-16
0.47000000000000003  -1.5375039403063698e-16  -1.6410139168857086e-16  2.737704581462185e-17  2.6620288495469576e-16
0.48  2.806556907688165e-17  -1.5292954787042915e-16  -7.030910331744424e-17  6.423470930695312e-17
0.49  -2.520926856371558e-16  1.0328108197355057e-16  1.340343237834304e-16  -2.354237344414009e-17
0.5  1.2330290816740576e-16  -2.172545334421007e-16  -1.9504849038605108e-16  9.824581355191262e-17
0.51  -4.3706163952248676e-17  1.277322153309578e-17  6.43625079470674e-17  6.768509249534684e-18
0.52  -7.994670290371786e-17  -1.298936364467833e-17  -7.337118170915844e-17  -8.441736984173306e-17
0.53  -1.57114392849093e-16  -3.627896354760393e-16  -2.7726644191826e-16  1.8727066554168013e-16
0.54  4.0227233616784376e-17  -1.1090366445377959e-16  -3.815969721182563e-17  -7.470643874081064e-17
0.55  8.620464619752493e-17  -2.256911016213205e-16  -2.6117798203691126e-19  -3.331698712675314e-17
0.56  -1.1546846948469255e-16  -3.9237420411672604e-17  1.6402634693777942e-16  2.3187265651339264e-17
0.5700000000000001  1.4978255435869476e-16  -1.3465918137646207e-16  -1.555327333226497e-16  1.3854295409022473e-16
0.58  1.2743371761817396e-16  1.483827496710486e-16  1.3116759595835086e-16  -5.5099526059970116e-17
0.59  -2.7383341816503975e-16  -2.504621472037047e-16  -7.794712559373449e-17  2.5360721731800003e-16
0.6  -4.1628929817087215e-16  -1.374982271287784e-16  -2.187021511969679e-16  3.0488436590075177e-17
0.61  8.113036547978147e-17  1.2941676674235677e-16  7.740075049875107e-17  -4.039584470289568e-16
0.62  3.0631712548521034e-16  2.1177538027946325e-16  1.5491946497247803e-16  -2.09018720194959e-17
0.63  -3.2117631809404283e-16  1.16447999514628e-16  -2.6839671880408596e-16  2.8176007154321265e-16
0.64  -2.207351751345446e-16  -1.0211198848176161e-16  5.1636679158597833e-17  6.560384644293248e-17
0.65  1.3996419584001042e-16  -2.754751405520524e-17  -7.825527599780455e-17  -1.3135865309923671e-16
0.66  1.363797614842243e-16  -2.4283356745739776e-16  -2.6522700471247683e-16  1.791390164222423e-16
0.67  1.3651871213214142e-16  -2.5967411286673186e-16  1.7475989423337804e-16  -1.5152931910186425e-16
0.68  4.701482869177583e-17  -1.3223482206340025e-16  4.024623575355385e-16  -7.086985612703032e-17
0.6900000000000001  -2.4351545545303916e-16  -6.997908801199236e-17  -1.0298086538713665e-16  1.365418831012106e-16
0.7000000000000001  -2.7249621330683666e-16  1.505553772903834e-16  -5.54582723655132e-17  -2.304896315144276e-16
0.71  -3.729613753972437e-16  2.853981098293225e-16  -8.667470054063352e-17  -4.1036585121961447e-16
0.72  -2.93781483125838e-16  1.3143843414832001e-16  2.6117798203691126e-19  3.331698712675314e-17
0.73  -2.3967713893232765e-16  2.790861911408138e-17  8.460199999813527e-17  7.683187626016793e-17
0.74  -9.507010595254753e-18  -6.056557938825425e-17  -3.1544499412345477e-17  5.479910494974561e-17
0.75  -7.375565286510145e-17  1.632248287100847e-17  -2.1163042484881618e-16  3.104058939402407e-16
0.76  1.3994960420578806e-16  -3.2897818086094904e-16  -4.953302397943607e-16  -3.7909685710561053e-19
0.77  1.543542348841232e-16  2.641737209661353e-16  -6.597867994089406e-17  -1.8989057054937192e-16
0.78  6.540828571500146e-17  -4.417791461903479e-17  -1.4795217680486314e-16  -5.506534874298513e-19
0.79  2.4946205082341665e-16  -1.0241305444953992e-18  5.916919741456522e-17  -2.4092427204962314e-16
0.8  3.3703734850674e-16  4.030613643742942e-17  8.265882260686948e-18  -5.582923276031942e-18
0.81  4.013632123068491e-17  7.337139187045553e-17  -8.653058575517604e-17  9.193768152508854e-17
0.8200000000000001  -8.680848705101114e-17  1.2561877234375602e-16  -9.29806820962576e-17  -3.391198968685166e-16
0.8300000000000001  2.7123622997889593e-16  2.1872294274191708e-16  8.98945845736338e-17  1.0675056226237988e-16
0.84  9.0761735088731e-17  -1.2828886608446692e-16  -1.27059739798703e-16  1.5280518134008623e-16
0.85  -4.558646526723526e-16  2.4091227751746665e-16  2.687539733097612e-16  8.642593741334247e-17
0.86  2.2291551137693704e-16  1.843728291715516e-16  -3.984589395564274e-16  -1.3279447144994483e-16
