t   Re(psi(x_0,t))   Im(psi(x_0,t))    Re(psi(x_n,t))   Im(psi(x_n,t))
0.0  1.2612918009094642e-184  0.0  0.0  0.0
0.01  -1.9055133063460446e-17  5.301549196930438e-18  -3.592308171746608e-17  8.687692325472716e-18
0.02  6.977497029379383e-18  4.928409936688453e-18  -1.0201307004733903e-17  2.1300749174910537e-17
0.03  -2.372404209494507e-17  7.877187329164862e-17  2.7610425451351744e-17  2.08820040814292e-17
0.04  2.090280996392262e-17  -2.760914436463039e-17  3.160564862751297e-17  -5.1510160282158727e-17
0.05  2.0360484706579395e-17  5.955794441909872e-17  8.515866569047679e-17  1.5635507166752473e-17
0.06  7.493955768875055e-18  3.2895217231725065e-17  -2.906558498648116e-17  -5.526014438320588e-17
0.07  -1.0285506775681973e-17  6.066188586998892e-17  -2.4954886775429636e-17  -2.2984078818894294e-17
0.08  -1.5016956894237644e-17  -8.193009692923563e-17  1.3460324417776486e-17  -7.554139643016512e-17
0.09  -3.675063837719485e-17  -4.9786353312000434e-17  4.9300756235969875e-17  -1.1185253343586246e-18
0.1  2.203198216493237e-17  -1.38351760670045e-16  7.035431507130067e-17  -8.279046853197189e-17
0.11  1.4644453401723656e-17  8.215217854530604e-17  -3.021364434198418e-17  9.018739844717643e-17
0.12  -6.973235591065453e-17  -6.445667323157164e-17  1.164975931227703e-16  -1.0012312692674993e-16
0.13  -8.093587027483371e-17  -4.767917550633443e-17  -3.127633332820451e-17  6.561621666174892e-17
0.14  6.354375178489842e-17  9.642094961587574e-17  -1.3509984409892339e-17  2.4005858814921676e-17
0.15  1.257783373203099e-16  -2.954586463773916e-17  -6.363556831016811e-17  1.1575670860074074e-16
0.16  1.0887172491019879e-16  -4.774108082567748e-17  -6.37439763977183e-17  -5.382959977457111e-18
0.17  -1.4685796249406974e-17  -1.4470181262798444e-17  -7.865392670510945e-17  -7.698414521308075e-17
0.18  -2.803528819602347e-17  1.3082292868294851e-16  1.9959944324929032e-16  -2.085897528507499e-16
0.19  -2.1170070824480713e-16  -4.34351387707869e-17  4.999166538167889e-17  -6.969502896603204e-17
0.2  9.009284061723393e-17  1.2401461765067036e-16  1.8864347607065556e-16  -5.820964130108376e-17
0.21  5.1049090571980075e-17  4.328142910352142e-17  9.811742358236838e-17  1.5778606721731412e-16
0.22  -7.640646611623478e-17  3.4444593450212084e-17  2.559816315083521e-16  -7.949190149480288e-18
0.23  -1.1986216735868143e-16  -1.1344290772520873e-17  2.0654013299676073e-16  6.859851419976979e-17
0.24  1.1584010328702237e-16  1.7228254740385533e-16  -4.782381201799209e-17  -2.4773224294089133e-16
0.25  -3.778239327291212e-17  2.381200466245407e-16  -1.3979036524293197e-16  2.402321191527204e-16
0.26  2.0214346058886138e-16  3.6915391945563616e-18  1.0761241309039471e-16  7.276579258055267e-17
0.27  -1.7700170003121518e-16  -1.1057353926049528e-16  3.825624570759832e-16  -7.638852168357214e-17
0.28  -3.068987740085667e-17  -3.6232908102243186e-17  -8.804594064488262e-17  -1.524333240199947e-16
0.29  -1.5496272442127486e-16  3.9876528867472423e-17  -1.1441079420544492e-16  2.5796199283906024e-17
0.3  2.7350787841336955e-16  1.6684639746222618e-17  -1.0124494743562958e-16  1.781006213237265e-16
0.31  4.316588344529927e-17  -8.935302872621183e-17  2.6996927611900283e-17  2.3646817793034143e-16
0.32  -1.735310798694552e-16  3.075051118474373e-17  -1.2557743835151922e-16  6.069484084154965e-17
0.33  9.437822020046477e-17  1.870974583381362e-16  -2.9093534112573094e-18  1.7156244403052172e-16
0.34  5.985243049470591e-17  -2.8409677201285064e-16  -7.316965921803703e-17  -4.696458827835743e-17
0.35000000000000003  1.812037760967149e-17  -1.4914725955576074e-16  1.3070431002273366e-16  -1.3571806048906913e-16
0.36  -1.1602730868487135e-16  -2.1155357415918546e-16  -8.177806366599353e-18  4.160472040599006e-16
0.37  5.5353761091414666e-17  3.1134443884070686e-16  -1.5182512966638967e-16  -8.34114695610901e-17
0.38  8.047368764194512e-17  -1.0553657711059265e-16  1.0749125147654465e-16  -1.4395747026797057e-16
0.39  -8.65796060723346e-17  2.1368589298815312e-18  -1.0266619471185736e-16  -1.4345062274066955e-17
0.4  3.5686768238531983e-17  -1.0105105887058904e-16  9.356716667347583e-17  3.9237183281043034e-17
0.41000000000000003  1.6002809615993707e-17  -3.074669657837575e-17  -3.3248621330860333e-16  7.015003288425607e-17
0.42  -3.000323722633135e-16  -2.119216272776035e-16  3.9904332245082275e-17  1.4660867296031054e-16
0.43  -8.633685303242253e-17  -3.133163621885828e-17  -2.3906357410368463e-16  -4.0535250752094225e-16
0.44  2.5458313157023904e-16  8.148731418473272e-17  -2.1046197969167274e-16  -6.03008002917768e-17
0.45  2.2901544508556363e-17  -2.42566129320045e-17  -5.714567711876498e-16  9.911977121677317e-17
0.46  1.3006943881309274e-16  2.698293814299189e-16  -2.6516785575796765e-16  2.439747704078536e-16
0.47000000000000003  1.174399410057485e-16  -2.65942462863868e-17  1.7782097451209115e-16  2.892772764456077e-16
0.48  -3.1182729289743707e-16  -6.40209928842586e-17  -1.909410625884576e-16  -1.4399470763110884e-16
0.49  -3.5039222139669254e-16  3.9975348450839204e-16  -6.3115086045167755e-16  4.464150949418278e-18
0.5  4.673911600635766e-17  1.478419079126418e-16  -4.1500130953747813e-16  -3.032641353302686e-16
0.51  -1.3965404242670587e-16  3.357126738723836e-16  -6.004258685296057e-17  -1.4513317316350267e-16
0.52  1.471471445234891e-16  2.5358901386801904e-16  -2.4543159048879817e-16  -2.5975990826578933e-17
0.53  2.217602098458688e-16  1.162030702636164e-16  -6.569126214739672e-18  -1.0481183794585756e-16
0.54  1.7267020934234107e-16  -8.173764196128979e-17  -2.6165378523574584e-16  1.7122055766072784e-16
0.55  4.454347675968247e-19  5.325443040284847e-17  -3.692638419404163e-18  1.0359285583937473e-16
0.56  8.08919843562384e-17  1.0342325953201055e-17  2.4897151718440234e-16  -3.984724057174653e-17
0.5700000000000001  1.192320702641476e-16  2.3837680449983228e-17  3.5221973982944076e-16  3.1706961092902957e-16
0.58  4.3164584671797806e-17  -6.902980436683387e-17  -7.46256875869518e-17  -4.208427754987876e-16
0.59  -1.0546936774506178e-16  -2.6328958100321844e-16  5.2849723223742076e-17  4.448701249465659e-16
0.6  -1.1425319882722001e-16  -3.1359239305471456e-16  1.7551080963736345e-16  2.971414194202342e-16
0.61  1.8940350326511897e-16  -1.2099833300469913e-16  1.1288644592859952e-16  5.783690258136877e-18
0.62  2.0349994539067465e-17  -3.736447987779203e-16  4.7182143893269324e-17  -2.6808574740614316e-16
0.63  1.9461985958649792e-17  -3.620074568935212e-16  -6.329023795955592e-16  1.1263120473117467e-16
0.64  -4.75092265879596e-16  -7.581945510429502e-18  -2.0537672709005536e-16  4.490536709779658e-16
0.65  -1.2791690359437512e-17  1.0557791995827596e-16  3.154795714316202e-16  4.03822421389382e-16
0.66  6.202808920135877e-17  -3.7021801005866467e-16  5.166637246045376e-16  -5.46848369180641e-16
0.67  -4.0091954918298913e-16  1.1815374153601412e-17  -4.268429912948872e-16  -2.120546655210264e-16
0.68  -1.9705244023671549e-16  1.9624531002798064e-16  -4.155628400014381e-16  2.7350321013491067e-16
0.6900000000000001  -1.0680480043039704e-17  -2.753697601082115e-16  2.4488340016177067e-17  1.257641325259301e-16
0.7000000000000001  -1.5997127698241799e-16  2.87236867297508e-16  -3.035413743384798e-16  4.2837106032180477e-16
0.71  7.315307035630331e-16  3.8181820503438525e-16  1.1054322236855122e-16  -2.456507859148214e-16
0.72  3.7462868972040144e-16  -2.542563854087773e-17  8.6609844735095e-17  -2.2330353578627665e-16
0.73  -4.9106012621591323e-17  3.2414121534196835e-16  3.938551878245887e-17  -5.970538728790256e-16
0.74  2.62769089752991e-16  2.916967369240279e-16  -2.716447251830716e-16  8.45966388233613e-18
0.75  4.622668618852111e-16  4.958984032581361e-16  -8.029538299228859e-17  -2.2275836005882047e-16
0.76  2.503248900403117e-16  -4.4219999163678345e-17  4.539403451984809e-16  -1.9388753206530375e-16
0.77  6.407314378331786e-17  6.682080887152949e-17  8.113749837142521e-17  -5.007685045774857e-16
0.78  -2.9573002691042705e-17  -6.315386465936468e-17  -3.507872305547695e-17  3.6121983552535396e-16
0.79  3.153147698766708e-16  1.3975774434782348e-17  -3.225350199459622e-16  1.45643107772697e-17
0.8  4.4272793008611016e-16  -5.44675998264809e-16  -3.748534233595653e-16  2.1136487932151748e-16
0.81  -4.506914797962459e-16  -5.39152694308354e-16  -4.553811692037545e-16  -1.4051078046358705e-16
0.8200000000000001  -3.343414933513717e-16  -1.8789274480976647e-17  1.731197586548106e-17  1.9164106729111486e-16
0.8300000000000001  -1.9461600908940282e-16  2.291263224653259e-16  8.89361124995558e-17  -3.11534187309468e-16
0.84  1.4281406441529497e-16  -4.358946626041677e-18  8.358020003427347e-16  2.772409783599712e-16
0.85  -1.2677245502252993e-16  -1.9908859407048266e-16  1.0957411751208738e-16  -3.301267019313144e-17
0.86  -5.793932437835125e-16  5.4600906989286864e-17  -2.730160146562651e-16  1.789254870454008e-16
0.87  -2.7095017969828275e-16  2.9079271622554664e-16  -2.5123145380970393e-16  4.729204217793116e-16
0.88  -5.4880003896803835e-16  -3.5140584793948016e-16  9.172446672236259e-18  1.2378734094059403e-16
0.89  1.295302923943895e-16  4.882700287581993e-16  -5.718363649549197e-17  4.460950841764801e-16
0.9  3.333085758723803e-16  -3.7144340109096584e-17  3.111211946413615e-16  -3.9956627911054373e-16
0.91  4.309422370567243e-17  -9.032011732731023e-17  1.5977495293201295e-16  -1.1141267575999417e-16
0.92  7.048775308369429e-17  -9.857328487559303e-17  -1.8774684636887399e-16  -9.810855917179205e-17
0.93  -4.09415469771184e-16  1.789033992431934e-17  -2.6728323548611738e-16  2.5629257513327203e-16
0.9400000000000001  1.4258678770521867e-16  7.656144731895625e-17  -4.9044107302247194e-17  5.139488105270009e-16
