t   Re(psi(x_0,t))   Im(psi(x_0,t))    Re(psi(x_n,t))   Im(psi(x_n,t))
0.0  1.7334313317163387e-307  0.0  4.647636361964372e-263  0.0
0.01  -1.6289448574501082e-17  2.6878342173982186e-17  -9.218766709562573e-19  -5.574736284381623e-17
0.02  -2.354065130346406e-17  -3.9485370206482694e-17  -2.2951897056613517e-17  1.5703237398562605e-17
0.03  1.1878986817128134e-18  -5.220857966493335e-17  -2.028691766376852e-17  2.017327930873045e-17
0.04  -1.2436570499943278e-17  -2.086019558078331e-17  7.329732349124887e-17  -3.965964234540807e-17
0.05  -1.0883038206251547e-16  -1.9940916456830127e-17  5.805118258375076e-17  -1.1943348045637646e-16
0.06  3.0802244220438833e-17  -5.673671228807628e-17  4.18959348359481e-17  1.2447425721264687e-16
0.07  -3.87971823989738e-17  4.332658655757272e-17  -5.2122079363198695e-17  2.0976377006733568e-17
0.08  -2.9913917756157174e-17  5.822672625813223e-17  6.218285249971661e-17  1.0430097790391642e-16
0.09  -1.183127911401944e-16  7.255613111258897e-17  1.762193827092352e-17  -2.4643321218898297e-17
0.1  4.945709997035375e-17  -2.5446418916901305e-17  -2.181153175451833e-16  1.2195895497633612e-16
0.11  1.2882811769686468e-16  -1.0911956409193483e-16  -1.1564781174734926e-16  7.702617302275707e-17
0.12  1.5473417617574256e-16  -1.1465558340294984e-17  -1.5444499414632294e-16  1.2035275958032986e-16
0.13  3.1979752714139854e-17  5.364050292201423e-17  -1.0949099600799589e-17  -1.2676736888070594e-16
0.14  1.0143458831884281e-16  -1.0086639654365203e-16  -1.4229760567579924e-16  3.2325753921078607e-17
0.15  -3.16905706847205e-17  5.5246698318020324e-17  -7.152067056268554e-17  4.263967028551997e-17
0.16  1.590312174824412e-16  -5.84590891100325e-17  -7.478479439039262e-17  1.4556681564533072e-16
0.17  2.0286917663768562e-17  -2.0173279308730406e-17  -1.2725752529362919e-17  -1.2974739682081784e-16
0.18  1.4006639932708334e-16  1.265350060288057e-16  -3.6731347440990775e-17  1.5519381573771924e-16
0.19  1.6126242383115716e-16  -2.1731984905991646e-16  -9.61046295331526e-17  1.0980648036398794e-16
0.2  7.536315844923165e-17  7.220758683473855e-17  -8.8543464398747e-17  -4.0114195765560336e-17
0.21  4.9002546550201133e-17  1.3639436897309458e-16  -4.242070572585298e-16  -2.23724286076644e-16
0.22  -6.205904186103029e-17  2.753142124661484e-16  -2.4294776941047452e-17  1.7605401131850255e-16
0.23  1.9439890466297445e-16  2.7186945882223596e-16  -1.5700694327650386e-17  8.206694977902747e-17
0.24  7.358650552066833e-17  6.922755889462664e-17  7.19752239828378e-17  -2.0448045817551585e-16
0.25  1.4006639932708334e-16  1.265350060288057e-16  1.718816522679412e-17  -1.8797412307895012e-16
0.26  -1.0114540628942345e-16  2.0975359778368658e-16  -1.5427962275559028e-16  -1.5037522954970056e-16
0.27  -2.784808279817448e-17  1.7009395543827867e-16  1.6287370536898734e-16  5.638816801022548e-17
0.28  1.3238142355399132e-16  -1.0315950821171102e-16  1.0081553512540788e-17  -1.998942348393977e-16
