t   Re(c(t))    Im(c(t))
0.0  1.0  0.0
0.01  0.9997502708462762  0.019059777209038137
0.02  0.9990013704983982  0.03810367929118544
0.03  0.9977541597911328  0.057115854122450564
0.04  0.9960100717666611  0.07608049553611454
0.05  0.9937711091554345  0.09498186618020317
0.06  0.9910398408583516  0.11380432022998946
0.07  0.9878193974391964  0.13253232590791192
0.08  0.9841134656387672  0.1511504877638978
0.09  0.9799262819245724  0.16964356866982724
0.1  0.9752626250923643  0.18799651148276475
0.11  0.970127807938109  0.20619446033260902
0.12  0.9645276680212433  0.22422278149097027
0.13  0.9584685575422569  0.2420670837793654
0.14  0.9519573323597021  0.25971323847622607
0.15  0.9450013401737544  0.2771473986837269
0.16  0.9376084079053051  0.29435601811706164
0.17  0.9297868283013732  0.31132586928051337
0.18  0.9215453457992764  0.3280440609964695
0.19  0.9128931416835558  0.34449805525542115
0.2  0.9038398185710698  0.3606756833569448
0.21  0.8943953842609921  0.3765651613136882
0.22  0.8845702349875941  0.3921551044924614
0.23  0.874375138114769  0.40743454146865166
0.24  0.8638212143121425  0.4223929270723524
0.25  0.852919919253416  0.437020154606768
0.26  0.8416830248782278  0.4513065672216816
0.27  0.8301226002593494  0.46524296842697493
0.28  0.8182509921174207  0.47882063173341866
0.29  0.8060808050256956  0.4920313094101655
0.3  0.7936248813474177  0.5048672403505705
0.31  0.7808962809484554  0.5173211570401542
0.32  0.7679082607277435  0.5293862916226675
0.33  0.7546742540078546  0.5410563810623369
0.34  0.7412078498277185  0.5523256714024462
0.35000000000000003  0.7275227721790707  0.5631889211224373
0.36  0.7136328592276966  0.5736414035976962
0.37  0.6995520425599141  0.5836789086681045
0.38  0.6852943264940325  0.5932977433233052
0.39  0.6708737674957365  0.6024947315144237
0.4  0.6563044537354612  0.6112672131037127
0.41000000000000003  0.6416004848249048  0.6196130419652519
0.42  0.626775951768787  0.6275305832514144
0.43  0.611844917166919  0.6350187098413222
0.44  0.596821395700501  0.6420767979889499
0.45  0.5817193349353994  0.6487047221898864
0.46  0.5665525964739309  0.6549028492870475
0.47000000000000003  0.5513349374854147  0.6606720318368304
0.48  0.5360799926444634  0.6660136007583202
0.49  0.520801256504653  0.670929357289201
0.5  0.5055120663338631  0.6754215642729986
0.51  0.49022558543620276  0.6794929368031577
0.52  0.47495478698405286  0.683146632250283
0.53  0.4597124383823519  0.6863862396996049
0.54  0.4445110861858399  0.6892157688264043
0.55  0.42936304158856164  0.6916396382377247
0.56  0.41428036650351197  0.6936626633092291
0.5700000000000001  0.3992748602488827  0.6952900435465201
0.58  0.3843580468559623  0.6965273495006383
0.59  0.3695411630123257  0.697380509267785
0.6  0.3548351466525488  0.6978557946035884
0.61  0.340250626207295  0.6979598066824461
0.62  0.3257979105202344  0.6976994615326283
0.63  0.311486979440893  0.6970819751779294
0.64  0.2973274751001721  0.6961148485167016
0.65  0.28332869387394377  0.6948058519690982
0.66  0.26949957903880434  0.6931630099233005
