t   Re(psi(x_0,t))   Im(psi(x_0,t))    Re(psi(x_n,t))   Im(psi(x_n,t))
0.0  -3.0670092546159203e-186  -1.2609188524503272e-184  -0.0  0.0
0.01  -7.191840480531919e-18  1.842503596892662e-17  -3.4049085673582576e-17  2.469781808402602e-18
0.02  -3.424191172252733e-17  1.03164594353535e-17  -3.75345327527103e-17  5.998752520572365e-17
0.03  3.700886774694269e-17  6.376975695951875e-17  -3.439268072821594e-17  7.440250301238641e-17
0.04  2.929929699145911e-17  1.718562215588254e-18  9.560077250394513e-17  5.613061767834105e-17
0.05  1.3036668586397576e-17  -4.7154924125829914e-17  4.1421764081576487e-17  -1.4147291482484692e-16
0.06  -3.87971823989738e-17  4.332658655757272e-17  -3.990319911103026e-18  8.685675632286833e-18
0.07  2.3210126426361387e-17  -1.7198337510442477e-18  1.8589997573364225e-17  7.585535601274839e-17
0.08  -3.759380738742522e-17  3.856990568889749e-17  -5.386334934041195e-17  7.531095846999701e-17
0.09  -3.093666295150057e-18  4.2236849901062295e-17  -3.752709324814433e-17  2.0846485434130796e-17
0.1  9.27268673504074e-17  3.3580861968321974e-17  -3.418411519946323e-17  6.182229866555813e-17
0.11  7.954147525906816e-17  -1.4436344063378198e-16  5.555459607882933e-17  -1.535258863210647e-16
0.12  1.845344555768616e-17  -2.923208762592824e-18  4.786997034983281e-17  -8.630675798979618e-17
0.13  -1.613192430086762e-17  2.3754994754616598e-17  -6.781461858017042e-17  -5.859325154053864e-17
0.14  3.7077348647929546e-17  -6.65367129839341e-17  4.101328800062604e-17  8.363639733736333e-17
0.15  -7.008747577014876e-17  6.198144230748763e-17  2.4146509279525787e-16  -1.5291834020441682e-16
0.16  -7.381123915983265e-17  1.1671168188601227e-16  -3.2804199091355244e-17  2.3953383676363105e-17
0.17  -1.732134882512763e-16  1.2952266318165355e-16  -2.540050123672223e-16  7.014503934781391e-17
0.18  9.605035342654574e-17  1.544246495790273e-17  1.750290095607147e-17  1.569098990523522e-17
0.19  1.9330408186464005e-16  2.6128249047130228e-17  -2.9265413627823153e-16  -7.751088452377781e-17
0.2  -2.457412097751057e-16  1.094822798334391e-18  -8.275898855662323e-17  1.476677288306984e-16
0.21  1.0447143543647377e-16  -1.2287314795846484e-16  1.276902844951064e-17  1.2895170620427843e-16
0.22  1.6556963742150374e-16  1.5576200751290993e-16  1.4659263486028884e-16  -1.4310522066339972e-16
0.23  2.0952632107361028e-16  1.8206580023442137e-16  1.2867138960520438e-16  -1.7529891826675572e-16
0.24  -1.20693674645444e-16  -3.3064403228826314e-17  2.593340934326731e-16  -2.4654252303693955e-16
0.25  -1.7133867329751057e-16  4.459059535300835e-17  -4.8818192490239864e-17  -2.6423784085892354e-17
