t   Re(c(t))    Im(c(t))
0.0  1.0  0.0
0.01  0.6999073560004168  0.705012359402486
0.02  -0.006819437927902664  0.9739764194268082
0.03  -0.6729453255255652  0.6598328027043214
0.04  -0.899976152669759  -0.01069098898461126
0.05  -0.5920951157523408  -0.6075216052161112
0.06  0.009877032836858583  -0.7891314387766919
0.07  0.5178136769004275  -0.5069633333699265
0.08  0.6568099408709894  0.004475949693131834
0.09  0.4151614335708616  0.4159413855365866
0.1  0.0037875633798020282  0.5190676023614054
0.11  -0.314214231654193  0.3258288025994444
0.12  -0.3895312116670693  0.012413088917257951
0.13  -0.2454088248947326  -0.22260821531422717
0.14  -0.01913879786086144  -0.2775040476438618
0.15  0.1472960158269745  -0.17746726704083635
0.16  0.18750456996794887  -0.022656815490680184
0.17  0.12313885645977041  0.09043716454459375
0.18  0.022809280907107956  0.11994514813985387
0.19  -0.05095988360500895  0.08183307051781971
0.2  -0.07241564332967641  0.02032996327871375
0.21  -0.051929181069295054  -0.0258237403531552
0.22  -0.01636705770547073  -0.041057635706787665
0.23  0.011270250174681157  -0.03133397710700223
0.24  0.021688698063147445  -0.012032563438430227
0.25  0.017878888748477637  0.003749401963642528
0.26  0.008124930409839363  0.010537498481825372
0.27  -0.00042395230749305013  0.009577244805133995
0.28  -0.004601994610673027  0.00505054993619119
0.29  -0.0047688607007377905  0.0006897460838981754
0.3  -0.0028878751288757085  -0.0017226756709979537
0.31  -0.0008145294714708832  -0.002175135081069052
0.32  0.00048340789117343397  -0.001512766506856135
0.33  0.0008866970729753621  -0.0006080218471636507
0.34  0.0007197930813684618  3.7478437057462266e-05
0.35000000000000003  0.0003667638464636636  0.0003074471494473506
0.36  7.333893622902475e-05  0.0003061270424497607
0.37  -7.896778210215866e-05  0.000189340820336565
0.38  -0.00011272297005829168  6.961803750925103e-05
0.39  -8.464752899553742e-05  -5.182642395204496e-06
0.4  -4.226542713610844e-05  -3.331037240759463e-05
0.41000000000000003  -1.0175324928915486e-05  -3.2292925706075076e-05
0.42  5.930001507913758e-06  -2.027617953779134e-05
0.43  9.958090084846023e-06  -8.471594498654124e-06
0.44  7.957069627974497e-06  -1.0570542707064728e-06
0.45  4.440417577986772e-06  2.048152077073484e-06
0.46  1.6277575652291766e-06  2.4679517038200123e-06
0.47000000000000003  6.433081624138138e-08  1.773008333953198e-06
0.48  -5.083336747171292e-07  9.267617001159669e-07
0.49  -5.363301989464234e-07  3.2152335747714926e-07
0.5  -3.6732451403134747e-07  7.3296562275344815e-09
0.51  -1.8907472213195928e-07  -1.0112068362325838e-07
0.52  -6.789230182915181e-08  -1.0414743284621608e-07
0.53  -6.070274541098569e-09  -7.137039797905365e-08
