t   Re(psi(x_0,t))   Im(psi(x_0,t))    Re(psi(x_n,t))   Im(psi(x_n,t))
0.0  -3.0670092546159203e-186  1.2609188524503272e-184  0.0  -0.0
0.01  -5.558507031222281e-18  1.9470886706841737e-17  3.422350973597876e-18  1.648687455433264e-17
0.02  4.39773550759482e-17  -7.53720591974236e-18  1.3771664010228003e-17  -3.1333056781292236e-17
0.03  8.232390761331928e-17  -2.2825325442651618e-17  -4.9243822128677726e-17  -4.2607937128149057e-17
0.04  3.9598690677656854e-17  -7.712820413041815e-17  -4.48383032232396e-17  7.669470822514497e-17
0.05  2.0116678035575185e-18  -5.4214416606756974e-17  -2.4189759614525323e-17  4.343269249813473e-17
0.06  -7.222433470003029e-17  -2.4598163764846966e-17  2.161693731840611e-17  2.1393927591253583e-17
0.07  -8.008507205186738e-18  1.7902110599969062e-17  7.627982572726094e-17  -1.0119197501443413e-16
0.08  1.604415246367702e-17  -9.842869386088334e-17  -8.218287420965135e-17  4.1101529296092956e-18
0.09  6.402925786472257e-17  2.9483959318396114e-17  -1.0627331988314361e-16  1.5298158219981423e-16
0.1  1.1202242828723179e-17  -6.92869211430577e-17  -1.1438954533392049e-16  -1.797339700617715e-17
0.11  6.356898253501797e-17  -4.496765817180023e-17  1.0419660025766429e-16  -3.1906420345939765e-17
0.12  -8.073509585033294e-17  -3.9720385081476894e-17  2.309026687425742e-19  3.694858525793658e-17
0.13  1.8028384325967023e-16  1.6011713953258364e-16  -1.6632041976706518e-18  -7.163815229615478e-17
0.14  1.5392853540682754e-16  -1.4831956687536615e-16  -2.827496743388007e-18  -1.6869564615944222e-17
0.15  2.2541229555056225e-17  1.834744000445667e-16  -5.94309330010098e-18  -2.0510824940285108e-17
0.16  1.090563872371358e-16  -1.134889009059883e-16  -2.2946744872548917e-17  8.286444309654972e-17
0.17  -7.473051828378584e-17  2.0317870323440087e-17  -2.1115505727873513e-16  -6.837656846326085e-17
0.18  -1.2603656669005775e-16  1.556246099022085e-17  -1.322120826005066e-16  -1.0071030242700995e-16
0.19  -3.13935851190741e-16  1.3061494290907594e-16  -5.434913054997799e-17  7.408849493642608e-17
0.2  2.6723360971260712e-17  1.2443164282950765e-16  -9.270817557080776e-17  1.2816712303954314e-16
0.21  1.2039283089255687e-16  3.425357344599511e-17  8.16504808969521e-17  -2.4695912573026357e-17
0.22  -3.590365476059651e-17  1.9385657940563123e-17  3.6313868074803643e-16  -8.831306780728992e-17
0.23  1.3540406587724254e-16  -1.2010873500496147e-16  3.21886640042907e-16  -3.133343181405585e-16
0.24  -2.166626139120791e-16  -2.3638028616956474e-16  -1.6861204750675548e-16  -3.634839835510614e-16
0.25  -3.1728901839109487e-16  1.0635896574479944e-16  -3.187957802264426e-16  7.285969995003184e-18
0.26  -1.274905418586182e-16  3.2139227871830073e-16  -7.485460130292592e-17  3.6902915772535997e-16
0.27  1.9766048541976975e-16  6.39234666267842e-17  2.5591816433757393e-16  1.8874118197545707e-16
0.28  1.8596510729848648e-16  -1.1490916243960141e-16  3.789800071337068e-16  -1.9766811463250654e-16
0.29  -1.6849411771955254e-16  -2.267248764884166e-16  -1.9812775419448327e-16  -4.2717691291499284e-16
0.3  -2.8391338122136967e-16  -1.7810967399283723e-16  -2.332168674379716e-16  9.662871748538498e-17
0.31  -2.0004921604211916e-16  9.806064074246534e-17  -6.463116327485948e-17  5.555555633335295e-16
0.32  -1.4006639932708334e-16  -1.265350060288057e-16  1.970303883252361e-16  7.641685630424613e-17
0.33  3.439158887906097e-17  2.5416483485594575e-16  -1.1690800593641684e-16  1.0201295237768178e-16
0.34  2.638537402676774e-16  1.173625593565697e-16  -3.524387654184704e-17  4.9286642437796594e-17
0.35000000000000003  2.274531356081528e-16  -2.68899603165772e-16  -1.0911956409193513e-16  -1.2882811769686441e-16
0.36  -2.0861212809148104e-16  -2.957096823431312e-16  8.63968510485819e-17  1.4237509627715982e-16
0.37  -3.4340030166856956e-16  -1.8303681239406968e-16  -8.573389399119219e-17  1.8799446764624788e-17
0.38  -3.296314593765676e-16  4.227195863593853e-16  4.3800728801892995e-16  -2.4093788201256035e-16
0.39  1.1073084562976489e-16  4.02536134767007e-16  -2.842644685701331e-17  -4.7680447041790364e-17
0.4  4.382964700483498e-16  -1.320506807725248e-16  -5.579623133566266e-16  -5.511780153750898e-17
0.41000000000000003  8.344078232313324e-17  -4.974628199977311e-17  -3.053366824355192e-16  2.4666557504088354e-16
0.42  -1.7973112781431523e-16  -4.098700231913366e-16  9.949256399954659e-17  1.6688156464626627e-16
0.43  -4.0689508139304865e-16  -3.208321878553008e-17  4.465598098802812e-16  3.1541823594806006e-16
0.44  -4.0896091635103136e-16  -1.4395044796567652e-16  1.0546279216341926e-17  5.834036461317036e-17
0.45  3.67711649581275e-18  3.855752462502888e-16  -4.089609163510317e-16  -1.439504479656756e-16
0.46  3.8970691616625417e-16  2.2005734186448015e-16  -2.597220703517118e-16  1.0637189900372378e-16
0.47000000000000003  1.0750828255410477e-16  -1.4487989937327764e-16  -8.618844741134446e-17  1.8064023465462067e-16
0.48  -3.0442757559521453e-16  -7.701600073910888e-17  2.1777440248006912e-16  -5.783640588391926e-19
0.49  3.850800036955444e-17  -1.5221378779760726e-16  2.338160118728337e-16  -2.0402590475536357e-16
0.5  2.2327990494014027e-16  1.577091179740305e-16  7.005398003956468e-17  -2.6190408673564504e-16
0.51  7.767904136917104e-16  -2.1469853768130295e-16  -1.1959359138179466e-15  -4.3414445556508594e-16
0.52  1.1411081659273102e-15  -1.2296507587086016e-15  -1.6009924369630884e-15  -2.734400512254707e-16
0.53  1.941584039841558e-15  -1.9330815077809926e-15  -2.9658554058179865e-15  1.2019160271397122e-16
0.54  2.472503911168925e-15  -1.5710157422701323e-15  -3.07280566888055e-15  -3.573048701178095e-16
