t   Re(c(t))    Im(c(t))
0.0  1.0  0.0
0.01  0.6999073560004168  0.7050123594024861
0.02  -0.006819437927902747  0.9739764194268082
0.03  -0.6729453255255654  0.6598328027043214
0.04  -0.899976152669759  -0.010690988984611375
0.05  -0.592095115752341  -0.6075216052161114
0.06  0.009877032836858762  -0.789131438776692
0.07  0.5178136769004277  -0.5069633333699263
0.08  0.6568099408709895  0.004475949693132077
0.09  0.41516143357086144  0.4159413855365869
0.1  0.003787563379801671  0.5190676023614055
0.11  -0.3142142316541933  0.3258288025994443
0.12  -0.3895312116670694  0.012413088917257604
0.13  -0.24540882489473242  -0.22260821531422745
0.14  -0.019138797860861093  -0.27750404764386183
0.15  0.1472960158269748  -0.1774672670408361
0.16  0.18750456996794898  -0.02265681549067985
0.17  0.12313885645977024  0.09043716454459404
0.18  0.022809280907107654  0.11994514813985396
0.19  -0.05095988360500921  0.0818330705178196
0.2  -0.07241564332967651  0.020329963278713545
0.21  -0.051929181069295005  -0.02582374035315539
0.22  -0.016367057705470606  -0.04105763570678776
0.23  0.011270250174681322  -0.031333977107002246
0.24  0.02168869806314759  -0.012032563438430151
0.25  0.017878888748477713  0.0037494019636426985
0.26  0.008124930409839309  0.010537498481825556
0.27  -0.00042395230749322013  0.009577244805134097
0.28  -0.004601994610673253  0.0050505499361911356
0.29  -0.0047688607007379145  0.000689746083897953
0.3  -0.002887875128875641  -0.00172267567099823
0.31  -0.0008145294714706112  -0.0021751350810692207
0.32  0.00048340789117376037  -0.001512766506856048
0.33  0.0008866970729755418  -0.0006080218471633339
0.34  0.0007197930813683698  3.7478437057818996e-05
0.35000000000000003  0.0003667638464633409  0.0003074471494475306
0.36  7.333893622866992e-05  0.00030612704244965426
0.37  -7.896778210233083e-05  0.0001893408203362451
0.38  -0.00011272297005817902  6.961803750891287e-05
0.39  -8.464752899522287e-05  -5.182642395366342e-06
0.4  -4.22654271357959e-05  -3.331037240749541e-05
0.41000000000000003  -1.0175324928771589e-05  -3.229292570581047e-05
0.42  5.930001507820953e-06  -2.0276179537539983e-05
0.43  9.958090084618478e-06  -8.471594498574225e-06
0.44  7.95706962779061e-06  -1.0570542708086024e-06
0.45  4.440417577950585e-06  2.0481520768713216e-06
0.46  1.6277575653524968e-06  2.4679517036733545e-06
0.47000000000000003  6.433081642074753e-08  1.7730083339578245e-06
0.48  -5.083336746227751e-07  9.267617002490949e-07
0.49  -5.363301989798626e-07  3.2152335763543695e-07
0.5  -3.673245141794084e-07  7.3296563168228235e-09
0.51  -1.8907472229463672e-07  -1.0112068366848249e-07
0.52  -6.789230189218977e-08  -1.0414743300254898e-07
0.53  -6.0702744639239144e-09  -7.1370398145629e-08
0.54  1.5927374320096726e-08  -3.7795587969475776e-08
0.55  1.7892195369745064e-08  -1.4994643909390863e-08
0.56  1.2855167688114659e-08  -3.0414695217039393e-09
0.5700000000000001  7.248041914288683e-09  1.648069696670743e-09
0.58  3.259925488654762e-09  2.58353748968596e-09
0.59  1.0349459869640593e-09  2.071138377428883e-09
0.6  4.5572125732848635e-11  1.2813360579880348e-09
0.61  -2.63951652289561e-10  6.553065863014287e-10
0.62  -2.757159956151696e-10  2.72121354076013e-10
0.63  -1.964088469549446e-10  7.826918797547205e-11
0.64  -1.1486645738850948e-10  -1.2602701681230604e-12
0.65  -5.7433506477485017e-11  -2.3723143177458012e-11
0.66  -2.4192993875074268e-11  -2.3132448753465782e-11
0.67  -7.745609746737552e-12  -1.620054764464696e-11
0.68  -8.9706346512095e-13  -9.553457019210354e-12
0.6900000000000001  1.2600860510300871e-12  -4.950183632989268e-12
0.7000000000000001  1.4908182972962525e-12  -2.2622600508750793e-12
0.71  1.1275668448802329e-12  -8.827073388464845e-13
0.72  7.086814867986685e-13  -2.5849238436528356e-13
0.73  3.957391750036705e-13  -1.7704462104663027e-14
0.74  2.0089067162478228e-13  5.148440884072153e-14
0.75  9.301571220812645e-14  5.539198003367849e-14
0.76  3.8669768476761775e-14  4.098914172573732e-14
0.77  1.3716413328691606e-14  2.5809475950315166e-14
0.78  3.4809615024585834e-15  1.472105478507955e-14
0.79  -8.933338198579573e-17  7.821737781639426e-15
0.8  -9.725739729984128e-16  3.973767027839353e-15
0.81  -9.909711354695379e-16  1.9423444931043265e-15
0.8200000000000001  -8.36155981102829e-16  8.964328301144311e-16
0.8300000000000001  -6.282167244753544e-16  3.0200482225525595e-16
0.84  -3.7075583480030903e-16  -4.166902714808093e-17
0.85  -9.901999648240521e-17  -1.8704166624941996e-16
