t   Re(psi(x_0,t))   Im(psi(x_0,t))    Re(psi(x_n,t))   Im(psi(x_n,t))
0.0  1.2612918009094642e-184  0.0  0.0  0.0
0.01  -1.426613709410718e-17  -1.586281012464465e-17  2.5087093041267044e-17  1.7295069553318679e-18
0.02  2.3720093957925512e-17  2.4054544226684652e-17  3.569800277122172e-17  7.86544806626496e-18
0.03  -6.415810638869017e-17  1.8573463458877528e-17  4.304771389864475e-17  -1.1528707727700811e-17
0.04  -1.8620781067621364e-19  -4.3132861551080684e-17  7.69973495983742e-18  2.8308909342758254e-17
0.05  -1.1719530431874081e-17  1.1748648948593216e-16  1.3512996868079207e-16  -1.1441435645601938e-16
0.06  -7.126128788607308e-17  -1.1172128525955e-16  1.0369538434384116e-16  9.26221904273549e-17
0.07  1.5064561707358007e-17  1.2000457808472926e-16  2.5911533161663833e-17  -1.2199813733627658e-16
0.08  -1.1170239068123544e-16  1.9075226959998326e-17  1.6533535835341888e-16  3.4026919995472507e-17
0.09  -3.1914918424363216e-17  7.356791717111982e-17  -1.1853675409699506e-16  -2.732115312621844e-17
0.1  -1.2012447867534033e-16  2.769297005393672e-17  1.2803662254436186e-16  -6.053213978492012e-17
0.11  5.077559570621349e-17  7.328070334814707e-17  -1.571040225497537e-16  -1.6877044402065218e-16
0.12  -3.6200083650457136e-17  1.2333053858593444e-16  -4.3690009339246105e-17  -9.357622341898255e-17
0.13  -6.675503986110736e-17  1.0385782069747372e-16  1.148003623457485e-16  -7.76336687447846e-17
0.14  -6.597405274195433e-17  9.68951557471795e-17  1.3431634994811938e-17  -3.040234117865729e-17
0.15  -7.39654080995822e-17  1.1034242846752245e-16  1.0252274252552474e-16  1.0967505794949796e-16
0.16  -1.972296394654515e-16  1.2990361471472471e-16  1.6193541167876543e-17  6.692587683877356e-17
0.17  5.112585018888949e-17  6.148850877144829e-17  -1.5607861120288155e-16  1.0179668887827497e-16
0.18  1.3638468469544063e-17  3.9569642638557137e-16  -1.337204832704446e-16  -2.923059957087026e-16
0.19  -1.0502212781135322e-16  4.3325426286516473e-17  1.1492068966967194e-16  -7.10735639034709e-17
0.2  3.258584937648429e-16  1.6394186878189196e-16  -2.272182389229036e-16  -3.050440877040703e-17
0.21  2.0223906055925147e-17  2.0405196406462125e-16  -3.917607853735447e-17  4.754257561237191e-17
0.22  -5.601669909683426e-17  2.277531634442322e-16  -1.0371139378599995e-16  -1.8492609083681151e-16
0.23  -1.6801266052580203e-16  1.0206240220270506e-16  1.4345708500135147e-16  -3.777050887875176e-16
0.24  -2.9712385516010714e-17  4.237240229042314e-17  7.453055547188112e-17  -1.2902373787910131e-17
0.25  -7.259599859671193e-17  -8.791237055095456e-18  -1.9307726098918264e-16  2.2957373878573926e-16
0.26  1.454823013807943e-16  1.2104483706781487e-17  1.3626816618715523e-16  -3.459597439941497e-16
0.27  2.8827937712639403e-16  1.9408662021456066e-16  4.20702658378886e-17  1.4905898959051355e-16
0.28  -6.207529787498457e-17  2.384188400636806e-16  -2.4266872473666923e-17  1.7093611911816142e-16
0.29  -1.7995327375654791e-16  -4.579283568320111e-17  3.327189239983334e-17  1.0978422818033688e-16
0.3  5.4804979341204196e-17  -2.256200281203425e-16  -2.14274542757491e-17  1.9731799504897683e-16
0.31  2.543099920557971e-16  -3.046993060823472e-17  -2.0089006463481108e-16  7.357206041320922e-17
0.32  5.609262980202083e-17  4.0327559129310845e-17  -2.3576475217501484e-16  -3.396778759629395e-17
0.33  3.7633062400923185e-17  3.782905366009352e-16  5.744894540839124e-17  -2.1683857572892483e-16
0.34  1.6278065203241015e-16  -3.039465321512052e-16  1.6011347281365792e-16  2.8393177664539965e-16
0.35000000000000003  2.379296142161148e-16  -9.973052141458419e-17  -1.072280110478101e-16  1.1114827041603785e-16
0.36  -7.061437229126705e-17  -6.691599616870944e-17  4.2133398694577306e-17  -6.668326096620217e-17
0.37  5.243283710493605e-16  1.920385104930865e-16  5.199403665765743e-17  9.24004186360927e-17
0.38  2.98708342929018e-16  1.372335311518823e-16  -2.7507739675026635e-16  1.4797476826590046e-16
0.39  -1.603575649130784e-16  -1.7714470477441617e-16  -9.997005830185997e-17  1.4494592718542432e-16
0.4  -3.3139352029512436e-17  -4.844989564688802e-17  1.9126072212705327e-17  6.08570331195049e-17
0.41000000000000003  9.261462606768212e-17  -1.6516082644210252e-17  1.011702332399901e-16  2.431559502778643e-16
0.42  -2.8409212754819897e-16  -3.715753987428574e-16  3.998925268577886e-16  4.32343318115389e-17
0.43  -8.605134961997749e-17  -2.7318629735560003e-16  1.0167179678689598e-17  1.0875829309053995e-16
0.44  6.829193879230346e-17  1.1073991939598484e-16  -5.769225731286952e-16  -5.024695930096285e-17
0.45  2.5108750431038695e-17  3.2955978405583404e-16  2.3850748461838682e-16  4.543069685904249e-16
0.46  2.3577449394951285e-16  3.941232428984663e-17  -3.3196741935317727e-16  6.535746468672979e-17
0.47000000000000003  3.285907796498597e-16  -3.748134194732136e-16  1.2656926410014904e-17  1.6025329234041996e-16
0.48  2.3938113515296703e-16  -1.2712047343163131e-16  1.6263391417504467e-17  -2.44691988519979e-16
0.49  -3.8305239002104e-16  -1.8867167047085447e-16  1.0859663199908007e-16  -9.970605606405805e-16
0.5  -3.5878965304096686e-16  -3.096134683377602e-16  1.7789626909206014e-16  -4.84220857833876e-16
0.51  -1.9741001893926068e-16  -5.663912221821703e-16  2.978308972461827e-16  -1.4682045484775956e-16
