t   Re(c(t))    Im(c(t))
0.0  1.0  0.0
0.01  0.9880019525990346  0.15137333564801173
0.02  0.9523389276780899  0.2988359730633245
0.03  0.8939940261235693  0.4385917021027248
0.04  0.8145719328213513  0.5670695513091342
0.05  0.716249414532125  0.6810271996860338
0.06  0.6017084137593472  0.7776437149945908
0.07  0.47405402408722486  0.8545986700776803
0.08  0.3367201319709765  0.910135178501016
0.09  0.1933659038254663  0.9431049642936782
0.1  0.047766571894634104  0.9529942147369775
0.11  -0.09629788070290633  0.9399296349272079
0.12  -0.23515251933335715  0.9046648022687196
0.13  -0.3653322379167527  0.8485475824356487
0.14  -0.48367825029382355  0.7734699913093954
0.15  -0.5874233675806841  0.6818024479058634
0.16  -0.6742635744884754  0.5763148424434992
0.17  -0.7424139313414861  0.460087226344647
0.18  -0.7906473968472345  0.33641320620708826
0.19  -0.8183157673957697  0.20869928518677436
0.2  -0.8253525393090112  0.08036344084554764
0.21  -0.81225809909941  -0.04526383927324959
0.22  -0.7800682128670813  -0.16503301786328206
0.23  -0.730307300958292  -0.27606068919026044
0.24  -0.6649284320422915  -0.3758040626929192
0.25  -0.5862423390086867  -0.46212275448575907
0.26  -0.4968380380581805  -0.5333263684747322
0.27  -0.3994978160629124  -0.5882068583761485
0.28  -0.2971094372278836  -0.626055186588812
0.29  -0.19257840921993  -0.6466623174910962
0.3  -0.08874304537382117  -0.650305084094256
0.31  0.011705129634746316  -0.6377179322742799
0.32  0.10629334858592394  -0.6100519620838841
0.33  0.19282999269912204  -0.568823039194912
0.34  0.2694558334753288  -0.5158510321165943
0.35000000000000003  0.3346829717922064  -0.4531924359317039
0.36  0.387420760098544  -0.3830687671147572
0.37  0.4269884395765722  -0.30779315554244335
0.38  0.45311466192426686  -0.2296975207711996
0.39  0.4659244809530383  -0.15106260427725082
0.4  0.4659147797130183  -0.07405294418599055
0.41000000000000003  0.4539194331387455  -0.0006586326498080485
0.42  0.4310657849212238  0.06735460124610676
0.43  0.3987242332431992  0.1284857767532968
0.44  0.3584528682321841  0.18152867197190012
0.45  0.3119391819383433  0.22559099380512088
0.46  0.26094087917866066  0.2601026193907869
0.47000000000000003  0.20722775689597428  0.2848131868782559
0.48  0.15252649516985595  0.299779655324565
0.49  0.09847002111628222  0.3053447606826554
0.5  0.046552875819434736  0.3021075580510699
0.51  -0.0019062562006446954  0.29088745201735905
0.52  -0.045793994922359214  0.2726832715099056
0.53  -0.08422314688900367  0.24862903966494687
0.54  -0.11654480053265535  0.2199481216221676
0.55  -0.1423517302507538  0.18790740490478272
0.56  -0.1614735039776095  0.15377308128087458
0.5700000000000001  -0.1739639609381957  0.11876946089428755
0.58  -0.18008196200818813  0.08404206591680007
0.59  -0.1802665073032683  0.05062603041403949
0.6  -0.17510745877619308  0.019420585087709972
0.61  -0.1653131962050683  -0.008829859624342067
0.62  -0.15167657160191694  -0.03354779026027497
0.63  -0.13504051046431748  -0.05432785252736423
0.64  -0.11626454119299118  -0.07093557783854677
0.65  -0.0961934210680986  -0.08330008265602643
0.66  -0.07562887476299782  -0.09150144704757358
0.67  -0.055305277216094406  -0.09575363860285165
0.68  -0.0358699055668443  -0.09638396462230832
0.6900000000000001  -0.017868164239097165  -0.09381010643230281
0.7000000000000001  -0.0017339628195420062  -0.0885158139584894
0.71  0.012214792346078862  -0.08102631746779355
0.72  0.02377583599042934  -0.07188444973654858
0.73  0.03285773579152311  -0.06162837061421057
0.74  0.03947121499512163  -0.05077165329522684
0.75  0.043717300213636776  -0.03978633500317786
0.76  0.04577306871855552  -0.029089362428353433
0.77  0.04587581014070084  -0.01903268271706842
0.78  0.04430641917278371  -0.00989705262545784
0.79  0.04137280081894684  -0.0018894697151758272
0.8  0.03739400178597454  0.004856022545927334
0.81  0.032685685989612696  0.010274533089955039
0.8200000000000001  0.027547455176029724  0.014364003907655055
0.8300000000000001  0.022252384382426212  0.017176922999741728
0.84  0.017039003772682373  0.018810658517685173
0.85  0.012105820616848631  0.0193970102167619
0.86  0.0076083447282011985  0.01909155176319326
0.87  0.0036584636275888934  0.018063288415831383
