t   Re(psi(x_0,t))   Im(psi(x_0,t))    Re(psi(x_n,t))   Im(psi(x_n,t))
0.0  1.2612918009094642e-184  0.0  0.0  0.0
0.01  -3.2537882880545934e-17  -9.917095192306549e-18  -3.6471679039918916e-17  -9.240807985849236e-18
0.02  -1.6400617224149503e-17  -1.8409003051880674e-17  4.1109404112196894e-17  1.6368727327460555e-17
0.03  1.5673459553091406e-18  3.7263607201201526e-17  2.591985462865907e-18  -5.640148430415808e-18
0.04  -1.8631803600600763e-17  7.836729776545703e-19  3.5695641663664985e-17  3.41899551946898e-17
0.05  -2.4483373892220872e-17  -4.178975731594261e-18  -1.7924044298133396e-18  -7.237609918221226e-17
0.06  6.05805841034249e-17  -2.511942674553927e-17  3.904595637522952e-17  6.615237833769182e-17
0.07  -5.902144037430686e-17  4.154829164943508e-17  -5.3393691738957773e-17  -9.522276515455398e-17
0.08  3.2699166732832673e-17  -1.3072652779099138e-16  7.228366046776598e-17  4.809774393745107e-17
0.09  2.1012890713897267e-17  -6.092595793308909e-18  -4.24511871662541e-17  4.7959615181857204e-17
0.1  -2.4568116931459802e-17  5.572546461140184e-17  -4.3616749981838456e-17  6.138653729636688e-17
0.11  -4.867514853694237e-17  -1.4251873327324238e-18  1.642739040082115e-17  -1.4769513412191183e-16
0.12  4.1736922904726814e-17  1.2542534708960556e-16  -2.1012127307077872e-17  9.867224486696614e-17
0.13  -9.375451983728924e-17  -4.1199276818597915e-17  -6.588493894243566e-18  -6.597481454131569e-17
0.14  3.3477378208727793e-17  1.1613836318983153e-17  2.1994830937564415e-17  -1.0240565152643472e-17
0.15  -7.134514958232842e-17  -1.688886191894192e-16  1.0032532613907479e-16  -9.459831766942063e-19
0.16  1.2206057262792127e-16  3.3063665792206897e-17  9.040649301764705e-17  3.01117202232689e-17
0.17  -2.6876304232881465e-17  6.276757845967022e-17  -1.0183673145050299e-16  6.498817899255239e-17
0.18  2.316224884675836e-16  9.92078619409255e-17  -1.5959324563812637e-17  -3.069999842912557e-17
0.19  5.977094405853309e-17  2.787047441996945e-17  -1.3743689492457424e-16  2.183147793142625e-16
0.2  9.041571244284215e-17  4.437816074942215e-17  -1.5372657304202954e-17  -3.545338368825803e-17
0.21  2.489206497180104e-17  -5.834347611329159e-17  5.720434095066057e-17  4.9312121938909104e-17
0.22  3.364504378661916e-17  -6.695885753055113e-17  1.343011940124838e-16  -5.2326681547812264e-17
0.23  -1.079029850075871e-16  6.617564466481916e-17  2.972170034423938e-17  3.844419575791629e-17
0.24  -1.1011366581856059e-16  1.374551764376187e-16  1.9616121905863019e-16  -1.778897557778746e-16
0.25  -1.4680455736346357e-16  8.039975037142353e-17  -1.6731428136616847e-17  -7.592542575179463e-18
0.26  1.2034370625927403e-17  -1.576374614292238e-16  1.8731538480274686e-16  -4.932092478104728e-17
0.27  1.4089057009866878e-16  -1.460728983086989e-17  -8.693663370799258e-18  1.389385865160461e-16
0.28  -5.967753868118047e-17  2.594957235590886e-17  7.308784825643191e-17  -6.963148744001105e-17
0.29  -3.799260531994996e-17  -1.5764564370831105e-17  6.933681164668179e-17  -2.3846169413178425e-17
0.3  3.80372574520785e-17  3.746590218444383e-17  4.097627623901282e-17  -1.1286256619895886e-16
0.31  -9.778267460819308e-17  1.8294733993064128e-16  -1.8157149640275775e-16  -1.6247626557871574e-16
0.32  7.442514668693673e-17  -1.70679225805371e-16  -2.6223191720367825e-18  -6.793714423260503e-17
0.33  -1.7923311047330107e-17  -3.397127243946947e-17  1.3409010744919746e-16  9.215527250413718e-17
0.34  -1.230119111834672e-16  2.6877224456726633e-17  -4.4729389845107605e-17  1.2667220804643773e-16
0.35000000000000003  -1.470496839782479e-16  5.3932137218122236e-17  3.700340861337273e-17  -1.776321416600669e-16
0.36  7.706230336564035e-17  1.585750963626114e-17  2.3864574689069894e-16  -1.0302130076939212e-16
0.37  -1.5925400079457575e-16  2.3848873451176954e-16  1.3864556860011357e-16  -1.9967709116435172e-16
0.38  1.4765748915181998e-16  2.2437617934707106e-17  3.6195452622196804e-17  -1.1930465234672015e-16
0.39  1.350923142772909e-17  1.1585588639236843e-17  -3.2344263527968275e-16  9.555679200111839e-17
0.4  2.9643944393883673e-16  -2.1734690873842737e-16  -2.4036741960265813e-16  2.626795808660679e-18
0.41000000000000003  -4.976408449004688e-17  7.588406314827878e-17  -1.4120509879358597e-16  2.0066844212073444e-16
0.42  -2.450770450364066e-16  -1.0949355730570183e-16  9.077802933186881e-17  -5.4169424950763616e-17
0.43  -2.6380589501553296e-16  -8.005755743100971e-17  2.54703201890414e-16  1.3276898616595907e-16
0.44  -9.42776218658301e-18  -1.0030638045598889e-16  1.0898628251464831e-16  2.260486714011026e-17
0.45  1.8910371308578874e-16  -8.608547558573875e-17  -2.3471103931364115e-16  2.500312082479593e-16
0.46  -1.2451091855191965e-16  -1.1196030768208243e-16  -6.984242573035508e-17  -5.0470861593464075e-17
0.47000000000000003  5.2764820004279565e-17  -6.64608621867139e-17  1.5482180705561017e-17  9.648645687737398e-17
0.48  -1.6493654511964057e-16  2.0827460294959775e-17  3.846114078894607e-19  -1.0780920076023042e-17
0.49  9.218945449448916e-17  5.558922760250717e-17  -2.1516746268706186e-16  3.0436759336971246e-17
0.5  1.611814042668641e-17  2.180904708618677e-16  4.4176500748167046e-17  -3.539894862831587e-16
0.51  3.438224812097948e-16  5.376682831744136e-16  -3.168427201158578e-17  2.595153934233948e-17
0.52  -6.121071534306125e-17  -6.210099731409643e-17  -3.221678870113402e-16  -1.236079038522247e-16
0.53  2.1784808497151503e-16  1.0195754922669178e-16  1.7830635932280474e-16  4.0801519188232e-18
0.54  -3.917102958208058e-16  -1.9013887445672843e-16  -2.7662745158588695e-16  -1.0652355304208214e-18
0.55  1.9804486304397602e-16  -1.211866951092683e-16  4.932937004692834e-16  -2.9554085516057625e-16
0.56  -3.6144230988805377e-16  1.992459093864283e-16  6.293092388456431e-19  2.571929521952568e-16
0.5700000000000001  1.305889303934328e-16  5.006752696491034e-17  1.314817256597872e-16  -2.515697905744716e-16
0.58  2.3654140526854914e-16  2.5743444347883006e-16  -4.165321684399457e-16  2.6909597307918676e-16
0.59  9.381921742297297e-17  2.2097725553906226e-17  -1.4669466154969008e-16  -7.84473491781966e-17
0.6  1.6201052991786922e-16  -6.975365706036854e-17  -2.1026349299762372e-16  4.9992787778244076e-17
0.61  1.7194220906197152e-16  -1.9385868509845124e-17  2.0629217821580997e-16  -2.445924481405564e-16
0.62  -8.752522692316306e-17  1.89460930142817e-16  1.4326117407305675e-16  8.892285575241527e-18
0.63  -1.4713808796576365e-16  -2.1648621488869856e-16  3.1472307434264985e-16  1.515787954254966e-16
0.64  8.383478365607031e-18  1.993169687506128e-16  -3.217138594162229e-16  2.2475335991439987e-17
0.65  -1.990641997570792e-17  -2.1011797416190184e-16  -5.091006985040049e-17  -3.152003581370261e-17
