t   Re(c(t))    Im(c(t))
0.0  1.0  0.0
0.01  0.6479452015834077  0.7429743455774069
0.02  -0.12719958100957732  0.9359161870843222
0.03  -0.7327937774934521  0.4865611131910321
0.04  -0.769765213586888  -0.20429062402700782
0.05  -0.3183077239157797  -0.6248395693316872
0.06  0.21298714321937237  -0.5616621505273253
0.07  0.4646025571248358  -0.1869660590196327
0.08  0.3688919317436719  0.17100589449809364
0.09  0.10432062251321295  0.30426806589119504
0.1  -0.1111974802040131  0.2217843821058706
0.11  -0.17703581346457123  0.059346154227512764
0.12  -0.12381364130285  -0.05915169108387996
0.13  -0.03567329460874495  -0.0918670907382359
0.14  0.02497141643642041  -0.06457168239251572
0.15  0.04226774920579747  -0.021926198357267987
0.16  0.03126439731345217  0.007248322319490315
0.17  0.012912836887756712  0.016837275439083598
0.18  -0.00022401388982239406  0.013773310085027019
0.19  -0.005444527212814804  0.006900879860138667
0.2  -0.0053184286606509975  0.0014741920926643693
0.21  -0.00321505428559623  -0.0011456827816769715
0.22  -0.0012359109928473722  -0.0016745107613828259
0.23  -7.952298876715736e-05  -0.001250100967499006
0.24  0.0003493888776005799  -0.0006579094775381348
0.25  0.00037317215940545884  -0.0002296408106319454
0.26  0.00025496042381072803  -1.0597492613012007e-05
0.27  0.00013277422903679504  6.375423992523972e-05
0.28  5.136458513264986e-05  6.689205388579639e-05
0.29  9.874472149733302e-06  4.692724342598984e-05
0.3  -5.896050572399095e-06  2.645290754357654e-05
0.31  -8.920536281091301e-06  1.2353671320872661e-05
0.32  -7.228747698643118e-06  4.529128354070766e-06
0.33  -4.669502783856926e-06  9.184392009491463e-07
0.34  -2.6176251544345945e-06  -3.992692888302261e-07
0.35000000000000003  -1.3061710133624135e-06  -6.755425706783436e-07
0.36  -5.776463311250362e-07  -5.759653278056255e-07
0.37  -2.1651950149171552e-07  -3.971075471557172e-07
0.38  -5.7211412994706366e-08  -2.4423404434512634e-07
0.39  2.893830540188985e-09  -1.3920834606780218e-07
0.4  1.943996656489905e-08  -7.491959912310193e-08
0.41000000000000003  1.9510052686023913e-08  -3.8445722809397774e-08
0.42  1.4920310018215483e-08  -1.8894713860156825e-08
0.43  1.0137569247423022e-08  -8.892871323061107e-09
0.44  6.446963826672505e-09  -3.98653123933265e-09
0.45  3.934532564586315e-09  -1.6779154498838373e-09
0.46  2.337952022044091e-09  -6.407912701877406e-10
0.47000000000000003  1.3655395032463773e-09  -2.0158670757451138e-10
0.48  7.893017843764264e-10  -3.1429500613962554e-11
0.49  4.538218917887096e-10  2.4190449418766903e-11
0.5  2.6061214677132274e-10  3.488093948133561e-11
0.51  1.4996629969468555e-10  3.040812872540051e-11
0.52  8.670334004645668e-11  2.257495072434453e-11
0.53  5.04710191181988e-11  1.5473405619474388e-11
0.54  2.9629164092900584e-11  1.0109188310053929e-11
0.55  1.7561813183460655e-11  6.393152613678181e-12
0.56  1.0517204974847396e-11  3.945078441813977e-12
0.5700000000000001  6.3657396782697635e-12  2.3846001184676895e-12
0.58  3.89405474456643e-12  1.4134259546112484e-12
0.59  2.4065540100496753e-12  8.204785422614769e-13
0.6  1.5014743620518623e-12  4.64463143822377e-13
0.61  9.449270366178373e-13  2.540924697119694e-13
0.62  5.994322834755015e-13  1.3208601988565415e-13
0.63  3.830074132265111e-13  6.320925232224611e-14
0.64  2.4601177566463245e-13  2.5815581612775253e-14
0.65  1.5820386658941361e-13  6.433078271744986e-15
0.66  1.0139658965779509e-13  -3.30333150298279e-15
0.67  6.485859819008106e-14  -8.124801248327285e-15
0.68  4.201771060159695e-14  -1.0078734946912045e-14
0.6900000000000001  2.8072231576002232e-14  -9.721693996521049e-15
0.7000000000000001  1.9063396812156047e-14  -7.59195414311128e-15
0.71  1.2229681373258063e-14  -4.947766607731866e-15
0.72  6.595245077170968e-15  -3.2929862961292664e-15
0.73  2.6603684209552026e-15  -3.2451969866983313e-15
0.74  1.0477532198130145e-15  -4.027709612132177e-15
0.75  1.4172279213614427e-15  -4.225934218861593e-15
0.76  2.3668729724674926e-15  -3.021686933458707e-15
0.77  2.424142602563401e-15  -8.900793273301527e-16
0.78  1.149433876679521e-15  8.458333174726747e-16
0.79  -6.972113389462199e-16  1.1762952324203592e-15
0.8  -1.8644532017495803e-15  1.4306799602223272e-16
0.81  -1.6831386240971444e-15  -1.2692513889239125e-15
0.8200000000000001  -4.521132538112227e-16  -1.99274578679344e-15
0.8300000000000001  9.133507893189182e-16  -1.5660545187589499e-15
0.84  1.5545285525427759e-15  -3.321397412522417e-16
0.85  1.183137328746367e-15  8.795740200297721e-16
0.86  1.696892129092185e-16  1.412939653918263e-15
0.87  -8.317544275921476e-16  1.1336933828569951e-15
0.88  -1.3394468619268483e-15  2.930838780511345e-16
0.89  -1.1332544056295627e-15  -6.371846658227254e-16
0.9  -3.748539523456963e-16  -1.1484175401618856e-15
0.91  4.820320239839064e-16  -1.0116841141365597e-15
0.92  9.668883059573846e-16  -3.6416802866219166e-16
0.93  8.718459323107272e-16  3.665274407984046e-16
0.9400000000000001  3.470092481287212e-16  7.659812875070955e-16
0.9500000000000001  -2.0826833659760494e-16  6.957221864441547e-16
0.96  -5.038040498708874e-16  3.249029386226732e-16
0.97  -4.782294184828227e-16  -5.4459658499288925e-17
0.98  -2.7024576078411924e-16  -2.522135646260879e-16
0.99  -7.215755427083546e-17  -2.698634324450801e-16
1.0  4.493608539207781e-17  -2.0007286998005658e-16
1.01  8.38606334844202e-17  -1.376482261552152e-16
1.02  1.161496792950512e-16  -1.0512089705554033e-16
1.03  1.5401386491971078e-16  -6.126727353497897e-17
1.04  1.8709833441602242e-16  1.6599739781308392e-17
1.05  1.6170421518271357e-16  1.2293054865698391e-16
1.06  6.499392822510688e-17  2.0007820148638204e-16
1.07  -6.164415994018146e-17  1.9248254547607318e-16
1.08  -1.3394233532863017e-16  1.1328586898357074e-16
1.09  -1.4041951958153528e-16  2.396448024866363e-17
1.1  -1.220507219411611e-16  -1.7899346350523753e-17
1.11  -1.183548963707387e-16  -5.128390895075055e-17
1.12  -1.0876954152795951e-16  -1.1759172774778201e-16
1.1300000000000001  -4.081091938494799e-17  -1.8842623320134966e-16
1.1400000000000001  1.0149229713821875e-16  -2.010688000228137e-16
1.1500000000000001  2.3427778887632516e-16  -1.0727687949929884e-16
1.16  2.6454209483058988e-16  7.695823818212422e-17
1.17  1.4656875439915567e-16  2.4735064398291335e-16
1.18  -6.442329211303297e-17  2.71885643646633e-16
1.19  -2.225193261356631e-16  1.5045431812988837e-16
1.2  -2.326625385102453e-16  -4.786319640225202e-17
1.21  -1.1632208090981685e-16  -1.8051141205067295e-16
1.22  4.304235928610728e-17  -1.8686202872809133e-16
1.23  1.3704746539576382e-16  -7.350875263622337e-17
1.24  1.0843867911515449e-16  4.544970734118182e-17
1.25  2.0784330797551772e-17  7.407050849469703e-17
1.26  -3.2759267511330653e-17  3.16288478998119e-17
1.27  -1.5859417931028502e-17  -2.2541241862309854e-17
1.28  4.9974171786081986e-17  -3.252646334778387e-17
1.29  7.449959077319588e-17  3.674382931156113e-17
1.3  8.831434338193655e-18  1.0748681094371867e-16
1.31  -1.021007752086816e-16  9.524433233817043e-17
1.32  -1.6171759069215381e-16  -1.2698451757251153e-17
1.33  -1.14591822154298e-16  -1.3952673705411227e-16
1.34  3.102928956007307e-17  -2.1187386157934822e-16
1.35  1.8666949319840817e-16  -1.4903914104720953e-16
1.36  2.6096049737573554e-16  2.9801369418421793e-17
1.37  1.9531687719737004e-16  2.248660662243316e-16
1.3800000000000001  -2.0440840900460298e-17  3.393613720948307e-16
1.3900000000000001  -2.828346718522419e-16  2.583927217855557e-16
1.4000000000000001  -4.272743743670233e-16  -2.887476374001826e-17
1.41  -2.9618774808291634e-16  -3.636600115776263e-16
1.42  8.082949758990615e-17  -4.948981106507938e-16
1.43  4.46009798597731e-16  -2.6874469904335296e-16
1.44  4.963982123284758e-16  1.5917755394914873e-16
1.45  1.979440380357719e-16  4.736383906065798e-16
1.46  -2.1643226065474887e-16  4.373534261522835e-16
1.47  -4.3967731157137993e-16  1.16543408559887e-16
1.48  -3.386747605206743e-16  -2.3109151048441123e-16
1.49  -4.56585464617033e-17  -3.6039644799242596e-16
1.5  2.124725340381204e-16  -2.3984689227414396e-16
1.51  2.8072665788945007e-16  -5.168737215336643e-18
1.52  1.7249650473640672e-16  1.980953837280789e-16
1.53  -3.9178282177660603e-17  2.388354858499147e-16
1.54  -2.067028724957719e-16  1.220818573901969e-16
1.55  -2.320807398117717e-16  -9.812553711375932e-17
1.56  -5.669428377646479e-17  -2.573588114732987e-16
1.57  1.8324856235865795e-16  -1.9756315647764943e-16
1.58  2.7595624814137013e-16  3.3753613385332477e-17
1.59  1.4032643537181495e-16  2.3840524806213797e-16
1.6  -1.0135970477993497e-16  2.4487600900583166e-16
1.61  -2.406796595455967e-16  4.864442757677695e-17
1.62  -1.684048151961529e-16  -1.4617459329482987e-16
1.6300000000000001  1.2206404223246884e-17  -1.7877798883865047e-16
1.6400000000000001  1.0141067392854132e-16  -7.860703857475491e-17
1.6500000000000001  8.795343263964008e-17  1.1435403683699855e-17
1.6600000000000001  3.44235587011619e-17  3.246911138821312e-17
1.67  2.0913234021428922e-17  2.4946820332106272e-17
1.68  2.307184327318885e-17  4.160193366684314e-17
1.69  -1.8551588523002093e-17  6.539505849374641e-17
1.7  -8.148721487758727e-17  2.0961497311508864e-17
1.71  -6.320112037586322e-17  -6.650546090461191e-17
1.72  3.4137598818818777e-17  -8.480847194187014e-17
1.73  9.385218008484126e-17  5.882224137578177e-18
1.74  2.3928625498338338e-17  1.0735944644296204e-16
1.75  -1.1708013938236214e-16  7.934459187420679e-17
1.76  -1.4855262731333957e-16  -8.721776549309139e-17
1.77  1.9177784402338578e-17  -2.0734081827070853e-16
1.78  2.262968837873385e-16  -1.1334401159468506e-16
1.79  2.5325700228569173e-16  1.528490008597496e-16
1.8  2.2428874418826527e-17  3.1778855208844954e-16
1.81  -2.6884598007531847e-16  2.0952292125025975e-16
1.82  -3.4104159702929703e-16  -9.256174552982344e-17
1.83  -1.3448285083080557e-16  -3.34967136219725e-16
1.84  1.7749548077701867e-16  -3.1904214046224203e-16
1.85  3.6096087500690376e-16  -5.994618920101918e-17
1.86  2.625541274571095e-16  2.3054992920131303e-16
1.87  -5.000052096426635e-18  3.435454510755818e-16
1.8800000000000001  -2.4986536959065845e-16  2.1427399793902656e-16
1.8900000000000001  -3.0744398803274217e-16  -3.100936201964713e-17
1.9000000000000001  -1.7484016359465408e-16  -2.346883914563791e-16
1.9100000000000001  4.7449319084873635e-17  -2.6885586496625105e-16
1.92  2.0779186342466115e-16  -1.4337472521215676e-16
1.93  2.2037405605310476e-16  4.982877584919146e-17
1.94  1.064448154691127e-16  1.819833477672218e-16
1.95  -5.856702717311622e-17  1.8094685877617942e-16
1.96  -1.6191709895592892e-16  6.139603054385294e-17
1.97  -1.3448182105177997e-16  -8.379474912791576e-17
1.98  -9.657961390639216e-18  -1.3647344240270988e-16
1.99  9.898954048379041e-17  -7.584603579686618e-17
2.0  1.1080967664044806e-16  3.8589305878169374e-17
2.0100000000000002  3.49247264471106e-17  1.0756382422984356e-16
2.02  -7.102335908736173e-17  1.0324100515319882e-16
2.0300000000000002  -1.2112519574750888e-16  1.6912591740474304e-17
2.04  -1.0923117494510676e-16  -8.278473323430447e-17
2.05  -1.1647116324125688e-17  -1.4727389925496546e-16
2.06  1.05498822799001e-16  -1.3001109709991203e-16
2.07  1.7899625247949574e-16  -1.990535818360017e-17
2.08  1.1317267276306552e-16  1.2923855862638796e-16
2.09  -9.267017042255808e-17  1.6844970832106444e-16
2.1  -1.8756211998809946e-16  1.6201206236454567e-17
2.11  -1.0790793744236251e-16  -1.361443141511087e-16
2.12  4.007666270704701e-17  -1.4274225154439226e-16
2.13  1.3426817339106703e-16  -5.402957877714324e-17
2.14  1.1549247731576652e-16  8.32342600439861e-17
2.15  1.978621554727798e-17  1.325632808212903e-16
2.16  -8.18768965312605e-17  7.978954658918109e-17
2.17  -9.405107537729342e-17  5.053639246835858e-18
2.18  -6.030334600094442e-17  -5.720861302634963e-17
2.19  1.3702746153965697e-18  -7.74451054686494e-17
2.2  4.797864939270651e-17  -4.548449879556604e-17
2.21  5.095635820212776e-17  -8.746859491137614e-18
2.22  3.327941515716701e-17  8.362152475937458e-18
2.23  2.4533085687542705e-17  1.8769030231378943e-17
2.24  1.7679999275484838e-17  3.2883584352674114e-17
2.25  -4.743682432780501e-18  4.898435161766872e-17
2.2600000000000002  -6.213431653121967e-17  4.474348239575485e-17
2.27  -1.02789256695652e-16  -2.978973319632447e-17
2.2800000000000002  -4.362932268185889e-17  -1.3441082435437405e-16
2.29  1.0289184597844541e-16  -1.3048792196140187e-16
2.3000000000000003  1.9721118546160806e-16  -4.0615920135357626e-19
2.31  1.2120909513627e-16  1.6925447162286753e-16
2.32  -6.653226528816058e-17  2.0312007390276942e-16
2.33  -2.0216649066044269e-16  7.427429851004541e-17
2.34  -1.8381977004649237e-16  -1.1021420564624212e-16
2.35  -4.090968468370507e-17  -1.957698355304422e-16
2.36  9.827419354471131e-17  -1.5431671752475217e-16
2.37  1.5454634379510345e-16  -4.032998184613969e-17
2.38  1.4047980454524686e-16  6.729984457473007e-17
2.39  6.603165953488654e-17  1.3734443820870686e-16
2.4  -4.084401548132632e-17  1.451278558984149e-16
2.41  -1.2739154172698773e-16  7.567461054742397e-17
2.42  -1.4328545624561434e-16  -3.4065268683623104e-17
2.43  -7.351458735545943e-17  -1.3061582499625858e-16
2.44  4.4322412872864334e-17  -1.297411379746135e-16
2.45  1.199433881758069e-16  -4.820376039890929e-17
2.46  1.1078234393219192e-16  6.641081019755756e-17
2.47  9.44181563090739e-18  1.265237746319675e-16
2.48  -9.719817292379278e-17  7.840079773448038e-17
2.49  -1.27597214522849e-16  -3.537874308978722e-17
2.5  -4.738821676407331e-17  -1.386890373877846e-16
2.5100000000000002  1.088361294363022e-16  -1.3807537196619847e-16
2.52  1.9960670559465637e-16  1.217604514241413e-17
2.5300000000000002  1.23614818546038e-16  1.9355205655407626e-16
2.54  -8.74267276665262e-17  2.4003830129720155e-16
2.5500000000000003  -2.616318690028641e-16  8.270827528641536e-17
2.56  -2.2584855683678736e-16  -1.6966632380159426e-16
2.57  -4.4187222111816276e-18  -2.7726413463435596e-16
2.58  2.0218116356666993e-16  -1.5643359885654688e-16
2.59  2.1261826349280249e-16  5.627870755856173e-17
2.6  7.295771476162289e-17  1.6730561034577973e-16
2.61  -7.18190282467117e-17  1.2634019654600703e-16
2.62  -9.327016201169491e-17  2.3175475242674614e-17
2.63  -4.719349220997446e-17  -3.384768531673433e-17
2.64  9.752267074334694e-18  -4.5595593869987416e-17
2.65  5.208985668818074e-17  -2.2082848015144406e-17
2.66  4.6552463065104417e-17  4.6250224716698425e-17
2.67  -3.1975118151915215e-17  8.033779114470989e-17
2.68  -1.35612709229021e-16  2.264370120624118e-17
2.69  -1.2093049732577586e-16  -1.4094293293610232e-16
2.7  7.014188545375725e-17  -2.2611829383935997e-16
2.71  2.921889930931468e-16  -8.176153304277078e-17
2.72  2.7384140116873226e-16  2.4137139527802275e-16
2.73  -4.5580931353530455e-17  4.241498231512203e-16
2.74  -4.2688523954047106e-16  2.477823867073964e-16
2.75  -5.065656199076537e-16  -2.0000144340904715e-16
2.7600000000000002  -1.7886460441424467e-16  -5.530410384246637e-16
2.77  3.1847503115812596e-16  -5.014163879076518e-16
2.7800000000000002  5.93898216819981e-16  -7.221263143020207e-17
2.79  4.3400544083941216e-16  3.9057734817386147e-16
2.8000000000000003  -1.1998068583969469e-17  5.459290279567733e-16
2.81  -3.7675410543987324e-16  3.1886456837106133e-16
2.82  -4.2021535507569614e-16  -6.71540036354325e-17
2.83  -1.891607370704178e-16  -2.940077164233558e-16
2.84  7.123176653460169e-17  -2.449246353677856e-16
2.85  1.569524590490155e-16  -7.650983158794684e-17
2.86  9.250923604811318e-17  3.2559238776223377e-17
2.87  1.7510542091102582e-17  3.102597871877741e-17
2.88  1.9411125093098454e-17  -4.132138688835555e-18
2.89  7.133208071052492e-17  1.119531449428565e-18
2.9  7.347074900148299e-17  7.049941164307294e-17
2.91  -9.672476270765418e-18  1.2417196844466887e-16
2.92  -1.181766621827288e-16  8.981683797062705e-17
2.93  -1.6664866333167574e-16  -2.8575731730516186e-17
2.94  -9.64249339545392e-17  -1.578461402013947e-16
2.95  4.8850389485626845e-17  -1.8777679361758856e-16
2.96  1.7813645685635038e-16  -7.432516037805104e-17
2.97  1.727252120821909e-16  9.363958054415364e-17
2.98  4.123975277146485e-17  1.6592163937572784e-16
2.99  -7.258287732698084e-17  1.1958056942877525e-16
3.0  -1.0146638652019413e-16  1.8134419859958726e-17
3.0100000000000002  -5.237456880678902e-17  -3.176514966000873e-17
3.02  -1.4085360070183148e-17  -9.528804148222899e-19
3.0300000000000002  -5.99682793342704e-17  2.5086453127802356e-17
3.04  -1.2996541859058929e-16  -3.6838438424590805e-17
3.0500000000000003  -1.1016144509029374e-16  -1.7240304941887787e-16
3.06  5.3184312710518326e-17  -2.6670209657719213e-16
3.0700000000000003  2.751150958889961e-16  -1.9784454382577255e-16
3.08  3.89690575192155e-16  3.297537106059261e-17
3.09  2.997775197931452e-16  3.1492339245897606e-16
3.1  3.6956541705856673e-17  4.738428133987955e-16
3.11  -2.937882376227987e-16  4.2528153789428653e-16
3.12  -5.246131247999692e-16  1.6203132270016147e-16
3.13  -5.392271240306133e-16  -2.0889498324949607e-16
3.14  -3.04422274311239e-16  -5.165400525161378e-16
3.15  7.702215533398657e-17  -6.0094341962091e-16
3.16  4.2276882547148163e-16  -4.346351556602038e-16
3.17  5.842596247124566e-16  -1.0333778674966941e-16
