t   Re(psi(x_0,t))   Im(psi(x_0,t))    Re(psi(x_n,t))   Im(psi(x_n,t))
0.0  4.98421956514629e-27  0.0  5.436971285605379e-138  0.0
0.001  -1.968863770838768e-17  -1.2800487288366763e-17  -2.6547625710508202e-17  -9.717685736807843e-18
0.002  -5.420983047135224e-17  1.2442638524012814e-17  -2.7072011277775623e-17  2.0019402574031255e-17
0.003  -3.1861229441255936e-17  1.0545724239552888e-16  -7.505554500850808e-17  2.1472532056199835e-17
0.004  7.00521094677871e-18  6.38956070744255e-17  1.166852912135138e-17  1.3635890839930827e-16
0.005  -3.645309834584694e-17  1.2027803802233161e-16  3.650054605980221e-17  1.5736956825459605e-16
0.006  -6.376357020775909e-17  2.3201826666773773e-16  5.539028829405256e-17  6.797379075032596e-17
0.007  1.4840166012256446e-16  2.392760719518491e-16  -1.2849262787720579e-16  1.4167290330616806e-16
0.008  1.423653418241705e-16  1.1720413827111322e-16  6.022366843289239e-17  3.6225624204837815e-16
0.009000000000000001  9.032811182937213e-17  1.8554772461176447e-16  2.355568650990179e-16  2.0327890109638452e-16
0.01  2.1989266597400372e-16  1.3959977701230613e-16  1.7161314484020283e-16  9.296174624339615e-17
0.011  2.3834236424286216e-16  3.810903075173534e-17  1.667725656772905e-16  7.796905757266799e-17
0.012  1.6262949141405673e-16  -3.732791557203844e-17  1.1661455362709715e-16  7.121155998210626e-17
0.013000000000000001  3.041085366160355e-17  -9.291182555839806e-17  1.7726015076073295e-16  1.098957039173972e-16
0.014  -9.432701639865264e-17  1.1046892744351674e-16  2.3710530477212015e-16  3.211230955714044e-17
0.015  1.464286898863972e-16  2.272943608964803e-16  9.508627513188767e-17  -6.877929032739854e-17
0.016  2.9831258650757673e-16  -3.411493244120843e-18  9.715658248461462e-17  3.5491741994512667e-17
0.017  2.1637839441676488e-16  -1.0595335480357075e-16  1.738057292070607e-16  -1.179025892817468e-16
0.018000000000000002  1.3152289510402468e-16  -1.7285249175041903e-16  2.6120006792021886e-17  -1.0162745676435086e-16
0.019  -1.0156704252521579e-16  -1.2568028066016791e-16  -1.817157970552348e-18  -9.658247891463123e-17
0.02  5.7955767327601494e-18  9.925647879614609e-17  -1.868376108198013e-16  -1.8846278446602688e-16
0.021  1.1754765814986505e-16  -1.7230934163128056e-16  -3.194385605047873e-16  2.889886099467108e-16
0.022  -3.214039678971981e-16  -1.4749758434282455e-16  1.4721922636891358e-16  4.200425296743122e-16
0.023  -2.6886488579635785e-16  3.3171946871536663e-16  2.0615929871802637e-16  4.7044216672761494e-17
0.024  1.2190044186680178e-17  3.302706678761013e-16  -4.0747758395784585e-17  6.462725257523369e-17
0.025  1.341034589522766e-16  2.5921133093975765e-16  -4.5752272087207455e-17  2.5148708769093777e-16
0.026000000000000002  2.1352745707363212e-16  1.863580983450098e-16  1.2289033677514678e-16  3.4476706771431784e-16
0.027  1.224300828362619e-16  1.0290593710082536e-16  3.7149645090551733e-16  2.450551301216077e-16
0.028  1.9624628169354507e-16  2.735917547605399e-16  4.0168732819135973e-16  -9.091096239908216e-17
0.029  5.855858725596964e-16  9.696369422462459e-17  1.3792129248220127e-16  -1.1494163976678895e-16
0.03  4.027159370991511e-16  -3.0892892093886292e-16  2.8188814422809563e-16  -2.5371721860826574e-17
0.031  1.3509013075820954e-16  -2.472794341005609e-16  2.713231911586982e-16  -3.2511250800829593e-16
0.032  1.4995203771025946e-16  -2.6379134707264984e-16  1.8687883832827006e-17  -2.092958956936095e-16
0.033  -5.033425987781333e-17  -2.2026266790122863e-16  1.0943478167380602e-16  -1.6568970660522366e-16
0.034  1.3810236352155713e-16  -3.6805321115523577e-17  -1.0878845341787584e-16  -2.6252360925655334e-16
0.035  1.455510961551303e-16  -4.933757160355763e-16  -1.7249795712833513e-16  8.393916444839465e-17
0.036000000000000004  -4.0034925939236137e-16  -4.667759894745654e-16  1.7431700173940424e-16  -2.4209049912950726e-17
0.037  -4.2370508789101418e-16  -4.274793736742296e-17  -1.4725032981289315e-17  -2.61966884618594e-16
0.038  -3.382095865318669e-16  1.348051279865545e-16  -1.1958369981725592e-16  -1.5330014972612714e-16
0.039  -1.5130556156264325e-16  3.730154553627502e-16  -1.9850451049014314e-16  -1.4373729692369073e-16
0.04  1.6537014911783508e-16  1.6615857893591907e-16  -2.9038914337244203e-16  1.2475203252894862e-16
0.041  -1.6128624539298473e-16  -6.662024724889194e-17  3.0648073735883166e-17  3.0353820002042965e-16
0.042  -1.7361897765334173e-16  4.083352157592236e-16  1.140929624690843e-16  -9.093892827226453e-17
0.043000000000000003  3.923605265204237e-16  3.221704538001208e-16  -2.3270823192565144e-16  1.0140106505225629e-16
0.044  2.648895000826256e-16  -1.209737806707601e-16  1.4562460233871477e-16  4.095524324598935e-16
0.045  -2.0551928866616675e-18  3.022585269799113e-17  3.7956528392614025e-16  7.7887066097412e-17
0.046  1.3330493799073012e-16  8.353438389467885e-17  2.3041857482564544e-16  -7.433071045638918e-17
0.047  1.627057876787017e-16  6.990266681927107e-17  2.6288851143876395e-16  -1.5318341698384462e-16
0.048  3.55822429019007e-16  4.689350808014409e-17  3.9281391341841784e-17  -3.1809600489211796e-16
0.049  4.2667935920988863e-16  -3.128748614111974e-16  -1.7865236920206408e-16  1.9732566958771625e-17
0.05  4.198460134527426e-17  -4.710476706681036e-16  1.7013345935666291e-16  2.0342580986365493e-16
0.051000000000000004  -2.0434371926445012e-16  -2.1599968959861526e-16  4.0089349696187025e-16  -7.073124325840544e-17
0.052000000000000005  -5.187278469380953e-17  -1.6071541166068486e-17  2.5457891417617627e-16  -3.613230759529044e-16
0.053  1.3089752233439179e-16  -1.4462016495121878e-16  -6.911952462886e-17  -4.365253386780563e-16
