t   Re(c(t))    Im(c(t))
0.0  1.0  0.0
0.001  0.9932430390592271  0.11384799162711096
0.002  0.9730775361371343  0.22603997613876436
0.003  0.9398177634266853  0.33494751639327786
0.004  0.8939813200441705  0.43899679696311705
0.005  0.8362799794375868  0.5366946502881187
0.006  0.7676071312529003  0.6266530713942937
0.007  0.6890220663699589  0.7076117669650006
0.008  0.6017314153762295  0.778458325580059
0.009000000000000001  0.5070681054943705  0.8382456454139897
0.01  0.40646824775018164  0.8862063124682019
0.011  0.3014464039842976  0.92176368520268
0.012  0.1935697114121585  0.9445395088001137
0.013000000000000001  0.08443136029178851  0.9543579527155853
0.014  -0.02437607242078277  0.9512460370579972
0.015  -0.1312869338049135  0.9354304851188184
0.016  -0.23478796410413866  0.907331109434733
0.017  -0.3334424618213929  0.8675509056285824
0.018000000000000002  -0.42591271518821616  0.8168630904984457
0.019  -0.5109803116583217  0.7561953771272004
0.02  -0.5875639856800964  0.6866118290314913
0.021  -0.6547347197722194  0.6092926766090622
0.022  -0.7117278735464591  0.5255125116280968
0.023  -0.7579521783913267  0.43661729869873994
0.024  -0.7929955005993827  0.34400065626691356
0.025  -0.8166273413255687  0.24907986359228484
0.026000000000000002  -0.8287981064616186  0.15327204455790816
0.027  -0.8296352419159378  0.05797096436554421
0.028  -0.819436388600574  -0.035475148244198326
0.029  -0.7986597654648683  -0.1257843719039295
0.03  -0.7679120371386209  -0.21176011359872968
0.031  -0.7279339642782153  -0.29230808087432847
0.032  -0.6795841688480406  -0.36645095547384504
0.033  -0.6238213728074933  -0.43334057123968117
0.034  -0.5616854866978406  -0.4922674540981189
0.035  -0.4942779343171734  -0.5426676380023551
0.036000000000000004  -0.4227416011127801  -0.5841267265972755
0.037  -0.34824078737010483  -0.6163812248862853
0.038  -0.2719415331692534  -0.6393172172018611
0.039  -0.1949926610018781  -0.6529665162806522
0.04  -0.11850785461628088  -0.6575004523137611
0.041  -0.043549059922284965  -0.6532215097121195
0.042  0.028888543436483994  -0.6405530523732693
0.043000000000000003  0.09788979196050723  -0.6200274049943626
0.044  0.1626308449437938  -0.5922725781432946
0.045  0.22238842786462085  -0.557997938233838
0.046  0.27654693756098386  -0.5179791302673062
0.047  0.3246033787505796  -0.4730425613687251
0.048  0.36617014449093904  -0.4240497470648177
0.049  0.40097569388466836  -0.3718818103547295
0.05  0.4288632179655017  -0.317424406451666
0.051000000000000004  0.44978741860753557  -0.2615533242546769
0.052000000000000005  0.4638095549533593  -0.20512098984630397
0.053  0.4710909368501807  -0.14894406835653537
0.054  0.4718850648353276  -0.09379232917023503
0.055  0.4665286311678066  -0.04037890647859396
0.056  0.4554316062269618  0.010647946628372651
0.057  0.43906663937453616  0.05871154620131419
0.058  0.41795800329170707  0.10331187649453528
0.059000000000000004  0.39267030614356263  0.1440291008492767
0.06  0.3637971870598038  0.1805255151929582
0.061  0.3319501977924749  0.21254600252740144
0.062  0.2977480575154136  0.23991707150488406
0.063  0.2618064491030255  0.26254458372494943
0.064  0.22472850443098583  0.2804102924788514
0.065  0.18709610385287018  0.29356733016563513
0.066  0.14946209159615803  0.30213479243666486
0.067  0.11234348494446023  0.30629157431122467
0.068  0.0762157312587782  0.3062696171406444
0.069  0.04150804363004363  0.30234672554926173
0.07  0.008599823692815589  0.2948391105767307
0.07100000000000001  -0.02218184074260429  0.2840938094696072
0.07200000000000001  -0.05056363473195036  0.2704811242450633
0.073  -0.07632648055983643  0.2543872106321798
0.074  -0.09930507102259024  0.23620693666413659
0.075  -0.11938654783354713  0.2163371164366021
0.076  -0.13650841152526585  0.19517020975409757
0.077  -0.1506557569391954  0.17308856294005034
0.078  -0.16185793368396342  0.15045925035507468
0.079  -0.1701847338891044  0.12762956049655744
0.08  -0.17574221030620585  0.10492315525709328
0.081  -0.17866822647641595  0.08263691628249216
0.082  -0.17912783748530056  0.0610384786376796
0.083  -0.1773085949805598  0.040364439366994374
0.084  -0.1734158638697353  0.020819217189446383
0.085  -0.16766823068887124  0.0025745296235933027
0.08600000000000001  -0.16029307528837466  -0.014230554625419601
0.08700000000000001  -0.1515223684664928  -0.029489037117470092
0.088  -0.14158874873413793  -0.04312493946458188
0.089  -0.13072192174562466  -0.05509183983401198
0.09  -0.11914541629068656  -0.06537105697359434
0.091  -0.10707372130715659  -0.07396954361441864
0.092  -0.09470981931243873  -0.08091755088015518
0.093  -0.08224312311331389  -0.08626612395207918
0.094  -0.06984781476103395  -0.09008448683742151
0.095  -0.05768157857032398  -0.09245737080849285
0.096  -0.04588471369024001  -0.09348233706859249
0.097  -0.03457960625113412  -0.09326713960688095
0.098  -0.023870536541695866  -0.09192716917498156
0.099  -0.013843792998400342  -0.08958301399483638
0.1  -0.004568062002656342  -0.08635816732435622
0.101  0.0039049394525665056  -0.0823769064889126
0.10200000000000001  0.011539622290596173  -0.07776236254539545
0.10300000000000001  0.018315509513290255  -0.07263479448120168
0.10400000000000001  0.024226080131277233  -0.06711007684921756
0.105  0.02927750608229997  -0.06129840507349226
0.106  0.03348731391667628  -0.05530321838648013
0.107  0.03688300114266673  -0.04922033652101723
0.108  0.03950063487614096  -0.04313730290863471
0.109  0.04138345791006144  -0.03713292424771942
0.11  0.04258052458876997  -0.03127699390597676
0.111  0.043145386014401516  -0.02563018470659197
0.112  0.04313484119708937  -0.020244095202040714
0.113  0.042607767849789445  -0.015161432541249546
0.114  0.041624043678416656  -0.010416314455687371
0.115  0.04024356627705685  -0.006034672693591821
0.116  0.038525377147210264  -0.002034740380547391
0.117  0.036526892952658964  0.0015723937620525685
0.11800000000000001  0.034303244923498594  0.004782180694124347
0.11900000000000001  0.03190672535285806  0.007595971249455928
0.12  0.02938633839984335  0.010020355553955616
0.121  0.02678745092808841  0.012066494735435106
0.122  0.024151537871163208  0.01374945665079444
0.123  0.021516015619229396  0.015087565957461253
0.124  0.018914156156721824  0.016101777431348406
0.125  0.016375074135872834  0.01681508001346289
0.126  0.013923778730112708  0.017251937678015986
0.127  0.0115812819570753  0.01743777187907709
